file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\model\MotionType.java,cs5004.model.MotionType,enum,0,4,4,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\util\AnimationFileReader.java,cs5004.util.AnimationFileReader$OvalInfo,innerclass,1,1,0,1,9,3,0,2,28,0.7777778,0.11111111,0.11111111,9,0,0,0,0,9,9,0,0,0,4,0,0,4,0,0,0,0,0,41,4,0,0,0,0,8,0,4,0,4,0,0,0,0,15,0,0
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\view\ViewFactory.java,cs5004.view.ViewFactory,class,5,6,1,5,4,1,0,0,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,4,0,0,0,0,1,0,0,0,32,1,0
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\model\IModel.java,cs5004.model.IModel,interface,3,17,14,3,9,1,0,0,36,0.0,0.0,0.0,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,1,0
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\model\ShapeType.java,cs5004.model.ShapeType,enum,0,6,6,0,2,1,0,0,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,8,1,0,0,0,0,2,0,1,0,1,0,0,0,0,24,1,0
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\model\Transition.java,cs5004.model.Transition,class,3,4,1,3,4,2,0,2,0,0.25,0.5,0.5,4,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,27,3,0,0,0,0,7,0,5,1,5,0,0,0,0,50,1,0
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\controller\GUIController.java,cs5004.controller.GUIController,class,5,7,2,5,3,1,0,7,0,0.5,1.0,1.0,3,0,2,1,0,0,2,0,0,0,4,0,0,4,0,0,0,0,0,44,0,0,0,0,3,0,2,4,1,4,0,4,0,0,43,1,0
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\model\ModelAnime.java,cs5004.model.ModelAnime$Builder,innerclass,6,6,0,6,7,1,0,3,0,0.0,1.0,1.0,7,0,7,0,0,0,7,0,0,0,1,0,0,1,0,0,0,0,0,29,6,0,0,0,0,0,0,1,0,1,0,0,0,0,24,25,0
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\model\ModelAnime.java,cs5004.model.ModelAnime,class,8,12,4,8,49,1,0,38,0,0.3181818,0.7111111,0.8,11,0,10,1,0,0,10,0,0,0,2,0,0,2,0,0,0,0,2,161,8,8,3,1,10,7,24,13,6,10,4,0,1,0,101,1,0
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\view\AbstractVIew.java,cs5004.view.AbstractVIew,class,4,6,2,4,4,1,2,3,0,0.625,0.5,0.5,4,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,0,21,1,0,0,0,0,1,1,5,0,4,0,0,0,0,32,1025,0
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\controller\IController.java,cs5004.controller.IController,interface,0,3,3,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\model\AbstractShape.java,cs5004.model.AbstractShape,class,1,3,2,1,29,1,2,1,119,0.85263157,0.15204678,1.0,19,0,18,0,1,0,19,0,0,0,10,0,0,0,10,0,0,0,0,82,11,0,0,0,4,1,10,18,1,11,1,0,0,0,74,1025,0
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\test\ViewNewTestOMG.java,ViewNewTestOMG,class,9,9,0,9,5,1,0,4,0,0.16666667,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,0,0,2,0,0,0,29,0,0,0,2,0,111,0,7,2,4,1,0,0,0,76,1,0
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\util\AnimationFileReader.java,cs5004.util.AnimationFileReader$ScaleByInfo,innerclass,1,1,0,1,15,2,0,2,91,0.86666673,0.06666667,0.06666667,15,0,0,0,0,15,15,0,0,0,7,0,0,7,0,0,0,0,0,68,7,0,0,0,0,14,0,7,0,7,0,0,0,0,22,0,0
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\model\Scale.java,cs5004.model.Scale,class,3,5,2,3,8,2,0,2,0,0.25,0.5,0.5,4,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,30,3,0,0,0,0,8,4,5,1,5,1,0,0,0,50,1,0
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\util\TweenModelBuilder.java,cs5004.util.TweenModelBuilder,interface,2,6,4,2,6,1,0,0,15,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,1,0
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\util\AnimationFileReader.java,cs5004.util.AnimationFileReader$ShapeInfo,innerclass,1,1,0,1,13,2,0,2,66,0.8461538,0.07692308,0.07692308,13,0,2,0,0,11,13,0,0,0,6,0,0,6,0,0,0,0,0,59,6,0,0,0,0,12,0,6,0,6,0,0,0,0,17,0,0
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\util\AnimationFileReader.java,cs5004.util.AnimationFileReader$ChangeColorInfo,innerclass,1,1,0,1,19,2,0,2,153,0.8947368,0.05263158,0.05263158,19,0,0,0,0,19,19,0,0,0,9,0,0,9,0,0,0,0,0,86,9,0,0,0,0,18,0,9,0,9,0,0,0,0,22,0,0
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\model\AbstractMotion.java,cs5004.model.AbstractMotion,class,3,7,4,3,19,1,3,6,5,0.61111116,0.33333334,0.6666667,6,0,5,0,1,0,6,0,0,0,3,0,0,0,3,0,0,0,0,34,6,0,2,0,6,1,2,4,1,4,2,0,0,0,46,1025,0
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\controller\GUIController.java,cs5004.controller.GUIController$Anonymous2,anonymous,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,1,1,0,0,0,0,0,0,12,-1,0
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\controller\GUIController.java,cs5004.controller.GUIController$Anonymous1,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\util\AnimationFileReader.java,cs5004.util.AnimationFileReader$RectangleInfo,innerclass,1,1,0,1,9,3,0,2,28,0.7777778,0.11111111,0.11111111,9,0,0,0,0,9,9,0,0,0,4,0,0,4,0,0,0,0,0,41,4,0,0,0,0,8,0,4,0,4,0,0,0,0,13,0,0
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\controller\GUIController.java,cs5004.controller.GUIController$Anonymous4,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\controller\GUIController.java,cs5004.controller.GUIController$Anonymous3,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\model\IShape.java,cs5004.model.IShape,interface,2,18,16,2,19,1,0,0,171,0.0,0.0,0.0,19,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1,0
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\model\Rectangle.java,cs5004.model.Rectangle,class,2,4,2,2,4,2,0,3,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,22,3,0,11,0,0,0,0,0,29,1,0
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\EasyAnimator.java,cs5004.EasyAnimator,class,11,12,1,11,16,1,0,16,1,0.0,NaN,NaN,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,70,1,2,0,3,2,10,5,19,2,10,4,0,0,0,48,1,0
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\util\AnimationFileReader.java,cs5004.util.AnimationFileReader$Inputable,innerclass,0,0,0,0,4,1,0,2,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,14,2,1,0,0,0,0,0,1,0,1,2,0,0,0,9,0,0
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\view\IView.java,cs5004.view.IView,interface,1,9,8,1,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,0
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\view\SVGView.java,cs5004.view.SVGView,class,5,7,2,5,15,2,0,24,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,97,1,2,0,0,5,87,43,3,22,3,5,0,0,0,58,1,0
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\util\AnimationFileReader.java,cs5004.util.AnimationFileReader,class,10,13,3,10,45,9,0,88,15,0.0,NaN,NaN,6,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,566,6,6,0,0,0,51,0,17,6,18,2,0,7,0,115,1,0
