file,class,method,variable,usage
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\util\AnimationFileReader.java,cs5004.util.AnimationFileReader$OvalInfo,getYRadius/0,yradius,1
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\util\AnimationFileReader.java,cs5004.util.AnimationFileReader$OvalInfo,setXRadius/1[float],xradius,1
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\util\AnimationFileReader.java,cs5004.util.AnimationFileReader$OvalInfo,setYRadius/1[float],yradius,1
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\util\AnimationFileReader.java,cs5004.util.AnimationFileReader$OvalInfo,getY/0,cy,1
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\util\AnimationFileReader.java,cs5004.util.AnimationFileReader$OvalInfo,setX/1[float],cx,1
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\util\AnimationFileReader.java,cs5004.util.AnimationFileReader$OvalInfo,setY/1[float],cy,1
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\util\AnimationFileReader.java,cs5004.util.AnimationFileReader$OvalInfo,getX/0,cx,1
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\util\AnimationFileReader.java,cs5004.util.AnimationFileReader$OvalInfo,getXRadius/0,xradius,1
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\model\ShapeType.java,cs5004.model.ShapeType,getType/0,type,1
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\model\ShapeType.java,cs5004.model.ShapeType,ShapeType/1[java.lang.String],type,3
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\model\Transition.java,cs5004.model.Transition,toString/0,y1,1
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\model\Transition.java,cs5004.model.Transition,toString/0,x1,1
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\model\Transition.java,cs5004.model.Transition,toString/0,y2,1
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\model\Transition.java,cs5004.model.Transition,toString/0,x2,1
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\model\Transition.java,cs5004.model.Transition,getParams/0,y1,1
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\model\Transition.java,cs5004.model.Transition,getParams/0,x1,1
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\model\Transition.java,cs5004.model.Transition,getParams/0,y2,1
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\model\Transition.java,cs5004.model.Transition,getParams/0,x2,1
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\model\Transition.java,cs5004.model.Transition,"Transition/7[int,int,float,float,float,float,cs5004.model.IShape]",y1,4
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\model\Transition.java,cs5004.model.Transition,"Transition/7[int,int,float,float,float,float,cs5004.model.IShape]",x1,4
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\model\Transition.java,cs5004.model.Transition,"Transition/7[int,int,float,float,float,float,cs5004.model.IShape]",y2,4
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\model\Transition.java,cs5004.model.Transition,"Transition/7[int,int,float,float,float,float,cs5004.model.IShape]",x2,4
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\controller\GUIController.java,cs5004.controller.GUIController,run/0,timer,1
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\controller\GUIController.java,cs5004.controller.GUIController,initActions/0,view,3
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\controller\GUIController.java,cs5004.controller.GUIController,"GUIController/2[cs5004.model.IModel,cs5004.view.IView]",timer,1
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\controller\GUIController.java,cs5004.controller.GUIController,"GUIController/2[cs5004.model.IModel,cs5004.view.IView]",view,5
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\controller\GUIController.java,cs5004.controller.GUIController,"GUIController/2[cs5004.model.IModel,cs5004.view.IView]",currentFrame,1
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\controller\GUIController.java,cs5004.controller.GUIController,"GUIController/2[cs5004.model.IModel,cs5004.view.IView]",model,4
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\model\ModelAnime.java,cs5004.model.ModelAnime$Builder,"addScaleToChange/7[java.lang.String,float,float,float,float,int,int]",model,2
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\model\ModelAnime.java,cs5004.model.ModelAnime$Builder,"addOval/10[java.lang.String,float,float,float,float,float,float,float,int,int]",model,1
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\model\ModelAnime.java,cs5004.model.ModelAnime$Builder,"addRectangle/10[java.lang.String,float,float,float,float,float,float,float,int,int]",model,1
