file,class,method,variable,usage
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\util\AnimationFileReader.java,cs5004.util.AnimationFileReader$OvalInfo,setXRadius/1[float],radius,1
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\util\AnimationFileReader.java,cs5004.util.AnimationFileReader$OvalInfo,setYRadius/1[float],radius,1
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\util\AnimationFileReader.java,cs5004.util.AnimationFileReader$OvalInfo,setX/1[float],x,1
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\util\AnimationFileReader.java,cs5004.util.AnimationFileReader$OvalInfo,setY/1[float],y,1
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\view\ViewFactory.java,cs5004.view.ViewFactory,"build/2[java.lang.String,cs5004.model.IModel]",viewName,1
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\view\ViewFactory.java,cs5004.view.ViewFactory,"build/2[java.lang.String,cs5004.model.IModel]",model,3
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\model\IModel.java,cs5004.model.IModel,removeShape/1[java.lang.String],id,0
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\model\IModel.java,cs5004.model.IModel,"addMotion/2[java.lang.String,cs5004.model.IMotion]",shapeId,0
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\model\IModel.java,cs5004.model.IModel,"addMotion/2[java.lang.String,cs5004.model.IMotion]",motion,0
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\model\IModel.java,cs5004.model.IModel,getShapesForViewAtFrame/1[int],currentFrame,0
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\model\IModel.java,cs5004.model.IModel,"tween/5[float,float,int,int,int]",value2,0
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\model\IModel.java,cs5004.model.IModel,"tween/5[float,float,int,int,int]",value1,0
C:\Users\MYPC\Animator_MultyView-master\Animator_MultyView-master\src\cs5004\model\IModel.java,cs5004.model.IModel,"tween/5[float,float,int,int,int]",startTime,0
