file,class,method,variable,usage
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\service\StudentServiceImpl.java,in.ineuron.service.StudentServiceImpl,searchStudent/1[java.lang.Integer],studentDao,2
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\service\StudentServiceImpl.java,in.ineuron.service.StudentServiceImpl,"addStudent/3[java.lang.String,java.lang.Integer,java.lang.String]",studentDao,2
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\service\StudentServiceImpl.java,in.ineuron.service.StudentServiceImpl,deleteStudent/1[java.lang.Integer],studentDao,2
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\service\StudentServiceImpl.java,in.ineuron.service.StudentServiceImpl,updateStudent/1[in.ineuron.dto.Student],studentDao,2
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\servicefactory\StudentServiceFactory.java,in.ineuron.servicefactory.StudentServiceFactory,getStudentService/0,studentService,3
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\dto\Student.java,in.ineuron.dto.Student,getSaddress/0,saddress,1
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\dto\Student.java,in.ineuron.dto.Student,setSname/1[java.lang.String],sname,3
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\dto\Student.java,in.ineuron.dto.Student,setSage/1[java.lang.Integer],sage,3
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\dto\Student.java,in.ineuron.dto.Student,setSaddress/1[java.lang.String],saddress,3
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\dto\Student.java,in.ineuron.dto.Student,toString/0,sname,1
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\dto\Student.java,in.ineuron.dto.Student,toString/0,sage,1
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\dto\Student.java,in.ineuron.dto.Student,toString/0,sid,1
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\dto\Student.java,in.ineuron.dto.Student,toString/0,saddress,1
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\dto\Student.java,in.ineuron.dto.Student,setSid/1[java.lang.Integer],sid,3
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\dto\Student.java,in.ineuron.dto.Student,getSage/0,sage,1
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\dto\Student.java,in.ineuron.dto.Student,getSname/0,sname,1
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\dto\Student.java,in.ineuron.dto.Student,getSid/0,sid,1
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\persistence\StudentDaoImpl.java,in.ineuron.persistence.StudentDaoImpl,updateStudent/1[in.ineuron.dto.Student],pstmt,8
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\persistence\StudentDaoImpl.java,in.ineuron.persistence.StudentDaoImpl,updateStudent/1[in.ineuron.dto.Student],connection,3
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\persistence\StudentDaoImpl.java,in.ineuron.persistence.StudentDaoImpl,"addStudent/3[java.lang.String,java.lang.Integer,java.lang.String]",pstmt,7
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\persistence\StudentDaoImpl.java,in.ineuron.persistence.StudentDaoImpl,"addStudent/3[java.lang.String,java.lang.Integer,java.lang.String]",connection,3
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\persistence\StudentDaoImpl.java,in.ineuron.persistence.StudentDaoImpl,searchStudent/1[java.lang.Integer],pstmt,4
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\persistence\StudentDaoImpl.java,in.ineuron.persistence.StudentDaoImpl,searchStudent/1[java.lang.Integer],connection,3
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\persistence\StudentDaoImpl.java,in.ineuron.persistence.StudentDaoImpl,searchStudent/1[java.lang.Integer],resultSet,7
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\persistence\StudentDaoImpl.java,in.ineuron.persistence.StudentDaoImpl,deleteStudent/1[java.lang.Integer],pstmt,5
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\persistence\StudentDaoImpl.java,in.ineuron.persistence.StudentDaoImpl,deleteStudent/1[java.lang.Integer],connection,3
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\daofactory\StudentDaoFactory.java,in.ineuron.daofactory.StudentDaoFactory,getStudentDao/0,studentDao,3
