file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\util\JdbcUtil.java,in.ineuron.util.JdbcUtil,JdbcUtil/0,true,12,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\util\JdbcUtil.java,in.ineuron.util.JdbcUtil,(initializer 1),false,15,0,0,0,0,2,2,8,0,0,0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,5,8,0,false
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\util\JdbcUtil.java,in.ineuron.util.JdbcUtil,getConnection/0,false,24,2,4,4,0,1,1,5,1,2,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,11,9,0,false
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\util\JdbcUtil.java,in.ineuron.util.JdbcUtil,"cleanUp/3[java.sql.Connection,java.sql.Statement,java.sql.ResultSet]",false,31,0,0,0,0,4,3,11,0,0,3,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,12,9,0,false
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\service\StudentServiceImpl.java,in.ineuron.service.StudentServiceImpl,searchStudent/1[java.lang.Integer],false,18,3,2,0,2,1,2,4,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\service\StudentServiceImpl.java,in.ineuron.service.StudentServiceImpl,"addStudent/3[java.lang.String,java.lang.Integer,java.lang.String]",false,11,2,2,0,2,1,2,4,1,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\service\StudentServiceImpl.java,in.ineuron.service.StudentServiceImpl,deleteStudent/1[java.lang.Integer],false,31,2,2,0,2,1,2,4,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\service\StudentServiceImpl.java,in.ineuron.service.StudentServiceImpl,updateStudent/1[in.ineuron.dto.Student],false,25,3,2,0,2,1,2,4,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\servicefactory\StudentServiceFactory.java,in.ineuron.servicefactory.StudentServiceFactory,StudentServiceFactory/0,true,10,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,false
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\servicefactory\StudentServiceFactory.java,in.ineuron.servicefactory.StudentServiceFactory,getStudentService/0,false,14,2,5,4,1,2,0,6,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,7,9,0,false
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\service\IStudentService.java,in.ineuron.service.IStudentService,updateStudent/1[in.ineuron.dto.Student],false,12,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\service\IStudentService.java,in.ineuron.service.IStudentService,searchStudent/1[java.lang.Integer],false,10,1,2,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\service\IStudentService.java,in.ineuron.service.IStudentService,deleteStudent/1[java.lang.Integer],false,14,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\service\IStudentService.java,in.ineuron.service.IStudentService,"addStudent/3[java.lang.String,java.lang.Integer,java.lang.String]",false,8,0,1,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\controller\TestApp.java,in.ineuron.controller.TestApp,main/1[java.lang.String[]],false,13,1,4,0,4,7,8,32,0,2,1,8,4,1,1,0,0,0,13,1,2,0,2,0,0,0,28,9,0,false
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\controller\TestApp.java,in.ineuron.controller.TestApp,updateOperation/0,false,50,3,13,1,12,9,18,48,0,9,0,18,0,0,0,4,0,0,20,0,9,6,2,0,0,0,32,9,0,false
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\controller\TestApp.java,in.ineuron.controller.TestApp,deleteOperation/0,false,103,2,3,1,2,3,6,10,0,4,0,6,0,0,0,0,0,0,6,0,4,0,2,0,0,0,13,9,0,false
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\controller\TestApp.java,in.ineuron.controller.TestApp,insertOperation/0,false,138,2,3,1,2,2,7,15,0,6,0,7,0,0,0,0,0,0,6,0,6,0,1,0,0,0,14,9,0,false
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\controller\TestApp.java,in.ineuron.controller.TestApp,selectOpertation/0,false,121,3,7,1,6,2,10,13,0,4,0,10,0,0,0,1,0,0,6,0,4,1,1,0,0,0,12,9,0,false
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\dto\Student.java,in.ineuron.dto.Student,getSaddress/0,false,39,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\dto\Student.java,in.ineuron.dto.Student,setSname/1[java.lang.String],false,27,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\dto\Student.java,in.ineuron.dto.Student,setSage/1[java.lang.Integer],false,35,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\dto\Student.java,in.ineuron.dto.Student,setSaddress/1[java.lang.String],false,43,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\dto\Student.java,in.ineuron.dto.Student,toString/0,false,48,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,6,1,0,false
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\dto\Student.java,in.ineuron.dto.Student,setSid/1[java.lang.Integer],false,19,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\dto\Student.java,in.ineuron.dto.Student,getSage/0,false,31,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\dto\Student.java,in.ineuron.dto.Student,getSname/0,false,23,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\dto\Student.java,in.ineuron.dto.Student,getSid/0,false,15,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\persistence\StudentDaoImpl.java,in.ineuron.persistence.StudentDaoImpl,updateStudent/1[in.ineuron.dto.Student],false,93,2,5,0,5,7,10,22,3,2,1,10,0,0,0,4,1,0,4,6,5,0,2,0,0,0,21,1,0,false
