file,class,method,variable,usage
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\util\JdbcUtil.java,in.ineuron.util.JdbcUtil,(initializer 1),ce,1
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\util\JdbcUtil.java,in.ineuron.util.JdbcUtil,getConnection/0,config,1
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\util\JdbcUtil.java,in.ineuron.util.JdbcUtil,getConnection/0,dataSource,1
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\util\JdbcUtil.java,in.ineuron.util.JdbcUtil,"cleanUp/3[java.sql.Connection,java.sql.Statement,java.sql.ResultSet]",con,2
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\util\JdbcUtil.java,in.ineuron.util.JdbcUtil,"cleanUp/3[java.sql.Connection,java.sql.Statement,java.sql.ResultSet]",statement,2
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\util\JdbcUtil.java,in.ineuron.util.JdbcUtil,"cleanUp/3[java.sql.Connection,java.sql.Statement,java.sql.ResultSet]",resultSet,2
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\service\StudentServiceImpl.java,in.ineuron.service.StudentServiceImpl,searchStudent/1[java.lang.Integer],sid,1
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\service\StudentServiceImpl.java,in.ineuron.service.StudentServiceImpl,"addStudent/3[java.lang.String,java.lang.Integer,java.lang.String]",sname,1
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\service\StudentServiceImpl.java,in.ineuron.service.StudentServiceImpl,"addStudent/3[java.lang.String,java.lang.Integer,java.lang.String]",sage,1
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\service\StudentServiceImpl.java,in.ineuron.service.StudentServiceImpl,"addStudent/3[java.lang.String,java.lang.Integer,java.lang.String]",saddress,1
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\service\StudentServiceImpl.java,in.ineuron.service.StudentServiceImpl,deleteStudent/1[java.lang.Integer],sid,1
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\service\StudentServiceImpl.java,in.ineuron.service.StudentServiceImpl,updateStudent/1[in.ineuron.dto.Student],student,1
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\service\IStudentService.java,in.ineuron.service.IStudentService,updateStudent/1[in.ineuron.dto.Student],student,0
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\service\IStudentService.java,in.ineuron.service.IStudentService,searchStudent/1[java.lang.Integer],sid,0
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\service\IStudentService.java,in.ineuron.service.IStudentService,deleteStudent/1[java.lang.Integer],sid,0
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\service\IStudentService.java,in.ineuron.service.IStudentService,"addStudent/3[java.lang.String,java.lang.Integer,java.lang.String]",sname,0
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\service\IStudentService.java,in.ineuron.service.IStudentService,"addStudent/3[java.lang.String,java.lang.Integer,java.lang.String]",sage,0
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\service\IStudentService.java,in.ineuron.service.IStudentService,"addStudent/3[java.lang.String,java.lang.Integer,java.lang.String]",saddress,0
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\controller\TestApp.java,in.ineuron.controller.TestApp,main/1[java.lang.String[]],args,0
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\controller\TestApp.java,in.ineuron.controller.TestApp,main/1[java.lang.String[]],br,1
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\controller\TestApp.java,in.ineuron.controller.TestApp,main/1[java.lang.String[]],option,1
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\controller\TestApp.java,in.ineuron.controller.TestApp,updateOperation/0,br,4
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\controller\TestApp.java,in.ineuron.controller.TestApp,updateOperation/0,newName,3
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\controller\TestApp.java,in.ineuron.controller.TestApp,updateOperation/0,newAge,3
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\controller\TestApp.java,in.ineuron.controller.TestApp,updateOperation/0,student,9
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\controller\TestApp.java,in.ineuron.controller.TestApp,updateOperation/0,studentService,2
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\controller\TestApp.java,in.ineuron.controller.TestApp,updateOperation/0,newStudent,9
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\controller\TestApp.java,in.ineuron.controller.TestApp,updateOperation/0,id,2
