file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\editReview\EditReviewLeaf.java,editReview.EditReviewLeaf,class,4,6,2,4,12,2,0,17,18,0.61111116,0.25,0.41666666,9,0,8,0,0,1,9,0,0,0,2,0,0,2,0,0,0,0,2,55,3,1,1,1,1,5,2,13,1,10,3,0,0,0,40,1,0
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\state\State.java,state.State,class,1,23,22,1,3,1,14,5,3,1.0,0.0,0.0,3,0,3,0,0,0,3,2,0,0,1,0,1,0,0,0,1,0,0,8,0,0,0,0,0,1,0,1,0,1,0,0,0,0,10,1025,0
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\client\Coolio.java,client.Coolio,class,1,2,1,1,6,1,0,12,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,34,2,1,0,2,1,2,3,8,0,8,3,0,0,0,28,1,0
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\state\AddReviewState.java,state.AddReviewState,class,3,4,1,3,5,2,0,9,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,5,23,1,1,0,0,1,4,1,7,1,5,2,0,0,0,23,1,0
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\addReview\AddReviewCreateCourse.java,addReview.AddReviewCreateCourse,class,5,7,2,5,10,2,0,14,18,0.825,0.17857143,0.17857143,8,0,8,0,0,0,8,0,0,0,5,0,0,2,0,3,0,0,3,47,3,0,0,1,1,4,0,9,1,7,2,0,0,0,39,1,0
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\addReview\AddReviewLeaf.java,addReview.AddReviewLeaf,class,5,8,3,5,11,2,0,20,28,0.7222222,0.11111111,0.11111111,9,0,8,0,0,1,9,0,0,0,2,0,0,2,0,0,0,0,3,57,3,0,0,1,1,5,4,10,2,8,2,0,0,0,36,1,0
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\state\MainPageState.java,state.MainPageState$children,enum,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,1,0
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\state\MainPageState.java,state.MainPageState$children$Anonymous1,anonymous,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\state\MainPageState.java,state.MainPageState$children$Anonymous2,anonymous,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\addReview\AddReviewSelectCourseCreateKey.java,addReview.AddReviewSelectCourseCreateKey,class,5,7,2,5,6,2,0,12,11,0.8333334,0.13333334,0.13333334,6,0,5,0,0,1,6,0,0,0,4,0,0,1,0,3,0,0,3,32,2,0,0,0,1,4,0,9,0,7,0,0,0,0,38,1,0
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\state\MainPageState.java,state.MainPageState$children$Anonymous3,anonymous,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\state\MainPageState.java,state.MainPageState$children$Anonymous4,anonymous,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,5,-1,0
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\state\Context.java,state.Context,class,3,19,16,3,14,1,0,14,70,0.8717949,0.060606062,0.060606062,13,1,12,1,0,0,12,0,0,0,6,1,1,5,0,0,1,0,0,62,4,0,0,0,0,12,0,13,7,13,1,0,0,0,35,1,0
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\state\MainPageState.java,state.MainPageState,class,4,6,2,4,4,2,0,8,0,0.5,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,6,55,0,1,0,1,1,3,1,5,0,4,1,0,1,0,31,1,0
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\state\ExitState.java,state.ExitState,class,3,5,2,3,2,2,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,1,0
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\server\ServerCommunications.java,server.ServerCommunications,class,1,5,4,1,16,1,0,8,21,0.8,0.26666668,0.62222224,10,1,10,0,0,0,10,0,0,0,10,1,0,1,0,9,1,0,0,76,4,1,0,5,1,4,0,13,0,10,2,0,0,0,40,1,0
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\addReview\AddReviewSelectCourse.java,addReview.AddReviewSelectCourse,class,5,7,2,5,8,2,0,11,2,0.6666667,0.4,0.4,5,0,5,0,0,0,5,0,0,0,3,0,0,1,0,2,0,0,6,35,1,1,1,0,1,3,1,9,1,7,2,0,0,0,30,1,0
