file,class,method,variable,usage
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\editReview\EditReviewLeaf.java,editReview.EditReviewLeaf,getKey/0,key,1
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\editReview\EditReviewLeaf.java,editReview.EditReviewLeaf,getCourseName/0,courseName,1
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\editReview\EditReviewLeaf.java,editReview.EditReviewLeaf,setCourseName/1[java.io.File],courseName,4
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\editReview\EditReviewLeaf.java,editReview.EditReviewLeaf,setKey/1[java.lang.String],key,4
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\editReview\EditReviewLeaf.java,editReview.EditReviewLeaf,editReview/1[java.lang.String],courseName,2
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\editReview\EditReviewLeaf.java,editReview.EditReviewLeaf,editReview/1[java.lang.String],key,1
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\editReview\EditReviewLeaf.java,editReview.EditReviewLeaf,"EditReviewLeaf/2[java.io.File,java.lang.String]",key,2
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\state\AddReviewState.java,state.AddReviewState,setState/1[java.lang.String],listOfFiles,1
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\state\AddReviewState.java,state.AddReviewState,setMessageFromServer/0,listOfFiles,3
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\addReview\AddReviewCreateCourse.java,addReview.AddReviewCreateCourse,setSchool/1[java.io.File],school,4
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\addReview\AddReviewCreateCourse.java,addReview.AddReviewCreateCourse,getSchool/0,school,1
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\addReview\AddReviewCreateCourse.java,addReview.AddReviewCreateCourse,setState/1[java.lang.String],key,2
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\addReview\AddReviewCreateCourse.java,addReview.AddReviewCreateCourse,getCourseName/0,courseName,1
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\addReview\AddReviewCreateCourse.java,addReview.AddReviewCreateCourse,generateKey/0,key,2
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\addReview\AddReviewCreateCourse.java,addReview.AddReviewCreateCourse,setCourseName/1[java.io.File],courseName,4
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\addReview\AddReviewCreateCourse.java,addReview.AddReviewCreateCourse,AddReviewCreateCourse/1[java.io.File],school,2
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\addReview\AddReviewLeaf.java,addReview.AddReviewLeaf,"AddReviewLeaf/2[java.io.File,addReview.GenerateKey]",key,2
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\addReview\AddReviewLeaf.java,addReview.AddReviewLeaf,setCourseName/1[java.io.File],courseName,4
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\addReview\AddReviewLeaf.java,addReview.AddReviewLeaf,setKey/1[addReview.GenerateKey],key,4
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\addReview\AddReviewLeaf.java,addReview.AddReviewLeaf,getKey/0,key,1
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\addReview\AddReviewLeaf.java,addReview.AddReviewLeaf,getCourseName/0,courseName,1
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\addReview\AddReviewSelectCourseCreateKey.java,addReview.AddReviewSelectCourseCreateKey,generateKey/0,key,3
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\addReview\AddReviewSelectCourseCreateKey.java,addReview.AddReviewSelectCourseCreateKey,getCourseName/0,courseName,1
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\addReview\AddReviewSelectCourseCreateKey.java,addReview.AddReviewSelectCourseCreateKey,setCourseName/1[java.io.File],courseName,4
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\addReview\AddReviewSelectCourseCreateKey.java,addReview.AddReviewSelectCourseCreateKey,setState/1[java.lang.String],key,1
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\state\Context.java,state.Context,getInstance/0,context,1
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\state\Context.java,state.Context,getServer/0,_server,1
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\state\Context.java,state.Context,setMessageFromServer/1[java.lang.String],messageFromServer,1
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\state\Context.java,state.Context,getState/0,_state,1
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\state\Context.java,state.Context,createResource/0,myResources,7
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\state\Context.java,state.Context,executeClientCommand/0,messageFromClient,1
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\state\Context.java,state.Context,getMessageFromServer/0,messageFromServer,1
