file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\editReview\EditReviewLeaf.java,editReview.EditReviewLeaf,getKey/0,false,79,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\editReview\EditReviewLeaf.java,editReview.EditReviewLeaf,printReview/0,false,64,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\editReview\EditReviewLeaf.java,editReview.EditReviewLeaf,setState/1[java.lang.String],false,69,3,4,0,4,1,3,4,0,0,1,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,false
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\editReview\EditReviewLeaf.java,editReview.EditReviewLeaf,getCourseName/0,false,41,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\editReview\EditReviewLeaf.java,editReview.EditReviewLeaf,setCourseName/1[java.io.File],false,48,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,true
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\editReview\EditReviewLeaf.java,editReview.EditReviewLeaf,setKey/1[java.lang.String],false,86,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,true
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\editReview\EditReviewLeaf.java,editReview.EditReviewLeaf,editReview/1[java.lang.String],false,92,1,2,1,1,4,9,22,0,6,1,9,1,1,1,1,1,1,2,2,8,1,3,0,0,0,23,1,0,false
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\editReview\EditReviewLeaf.java,editReview.EditReviewLeaf,"EditReviewLeaf/2[java.io.File,java.lang.String]",true,32,1,3,1,2,1,2,4,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,false
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\editReview\EditReviewLeaf.java,editReview.EditReviewLeaf,setMessageFromServer/0,false,53,2,3,0,3,1,4,6,0,2,0,4,1,1,0,0,0,0,2,0,3,0,0,0,0,0,8,1,0,false
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\state\State.java,state.State,setMessageFromServer/0,false,17,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1025,0,false
