file,class,method,variable,usage
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\editReview\EditReviewLeaf.java,editReview.EditReviewLeaf,setState/1[java.lang.String],option,1
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\editReview\EditReviewLeaf.java,editReview.EditReviewLeaf,setCourseName/1[java.io.File],courseName,2
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\editReview\EditReviewLeaf.java,editReview.EditReviewLeaf,setKey/1[java.lang.String],key,2
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\editReview\EditReviewLeaf.java,editReview.EditReviewLeaf,editReview/1[java.lang.String],trimmedLine,1
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\editReview\EditReviewLeaf.java,editReview.EditReviewLeaf,editReview/1[java.lang.String],e,1
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\editReview\EditReviewLeaf.java,editReview.EditReviewLeaf,editReview/1[java.lang.String],review,1
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\editReview\EditReviewLeaf.java,editReview.EditReviewLeaf,editReview/1[java.lang.String],oldreview,3
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\editReview\EditReviewLeaf.java,editReview.EditReviewLeaf,editReview/1[java.lang.String],reader,2
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\editReview\EditReviewLeaf.java,editReview.EditReviewLeaf,editReview/1[java.lang.String],finalreview,1
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\editReview\EditReviewLeaf.java,editReview.EditReviewLeaf,editReview/1[java.lang.String],fileOut,3
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\editReview\EditReviewLeaf.java,editReview.EditReviewLeaf,editReview/1[java.lang.String],currentLine,3
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\editReview\EditReviewLeaf.java,editReview.EditReviewLeaf,"EditReviewLeaf/2[java.io.File,java.lang.String]",fileName,1
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\editReview\EditReviewLeaf.java,editReview.EditReviewLeaf,"EditReviewLeaf/2[java.io.File,java.lang.String]",key,1
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\editReview\EditReviewLeaf.java,editReview.EditReviewLeaf,setMessageFromServer/0,school,0
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\editReview\EditReviewLeaf.java,editReview.EditReviewLeaf,setMessageFromServer/0,message,2
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\state\State.java,state.State,setState/1[java.lang.String],option,0
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\client\Coolio.java,client.Coolio,getPort/1[java.lang.String[]],args,1
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\client\Coolio.java,client.Coolio,getPort/1[java.lang.String[]],e,0
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\client\Coolio.java,client.Coolio,main/1[java.lang.String[]],args,1
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\client\Coolio.java,client.Coolio,main/1[java.lang.String[]],fromServer,2
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\client\Coolio.java,client.Coolio,main/1[java.lang.String[]],console,1
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\client\Coolio.java,client.Coolio,main/1[java.lang.String[]],s,4
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\client\Coolio.java,client.Coolio,main/1[java.lang.String[]],in,2
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\client\Coolio.java,client.Coolio,main/1[java.lang.String[]],e,0
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\client\Coolio.java,client.Coolio,main/1[java.lang.String[]],toServer,1
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\client\Coolio.java,client.Coolio,main/1[java.lang.String[]],local,1
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\client\Coolio.java,client.Coolio,main/1[java.lang.String[]],dis,1
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\client\Coolio.java,client.Coolio,main/1[java.lang.String[]],out,3
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\state\AddReviewState.java,state.AddReviewState,setState/1[java.lang.String],fileName,1
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\state\AddReviewState.java,state.AddReviewState,setState/1[java.lang.String],option,2
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\state\AddReviewState.java,state.AddReviewState,setMessageFromServer/0,folder,1
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\state\AddReviewState.java,state.AddReviewState,setMessageFromServer/0,i,5
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\state\AddReviewState.java,state.AddReviewState,setMessageFromServer/0,message,3
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\addReview\AddReviewCreateCourse.java,addReview.AddReviewCreateCourse,setSchool/1[java.io.File],school,2
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\addReview\AddReviewCreateCourse.java,addReview.AddReviewCreateCourse,setMessageFromServer/0,message,4
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\addReview\AddReviewCreateCourse.java,addReview.AddReviewCreateCourse,setState/1[java.lang.String],newCourse,2
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\addReview\AddReviewCreateCourse.java,addReview.AddReviewCreateCourse,setState/1[java.lang.String],file,2
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\addReview\AddReviewCreateCourse.java,addReview.AddReviewCreateCourse,setState/1[java.lang.String],e,1
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\addReview\AddReviewCreateCourse.java,addReview.AddReviewCreateCourse,setCourseName/1[java.io.File],courseName,2
C:\Users\HP-Eli\CoolioCourseReviewer-master\CoolioCourseReviewer-master\StateCoolio1\src\addReview\AddReviewCreateCourse.java,addReview.AddReviewCreateCourse,AddReviewCreateCourse/1[java.io.File],school,1
