file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,class,14,16,2,14,52,1,0,53,204,0.87142855,0.21164021,0.7962963,28,1,28,0,0,0,28,0,0,0,15,4,4,11,0,0,4,0,11,210,14,7,2,1,3,11,24,59,14,45,4,0,0,0,110,1,0
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\factory\Bomb.java,factory.Bomb,class,1,3,2,1,5,2,0,4,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,30,1,0,0,1,0,1,7,12,2,0,1,0,0,0,15,1,0
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\strategy\Strategy.java,strategy.Strategy,interface,0,6,6,0,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\factory\Banana.java,factory.Banana,class,1,2,1,1,5,2,0,3,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,32,1,0,0,1,0,1,9,14,1,0,1,0,0,0,15,1,0
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\factory\AbstractFactory.java,factory.AbstractFactory,interface,2,3,1,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\factory\Strawberry.java,factory.Strawberry,class,1,2,1,1,5,2,0,3,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,32,1,0,0,1,0,1,13,14,5,0,1,0,0,0,15,1,0
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\modelLayer\UserDB.java,modelLayer.UserDB,class,17,19,2,17,19,1,0,37,16,0.75,0.22222222,0.33333334,12,2,10,2,0,0,10,0,0,0,6,4,3,3,0,0,3,0,6,115,6,1,2,2,0,36,6,28,6,27,1,0,0,0,97,1,0
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\MouseMovement.java,controllerLayer.MouseMovement,class,1,3,2,1,5,1,0,3,0,0.4,0.4,0.6,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,23,1,0,0,0,0,0,2,7,0,2,0,0,0,0,16,1,0
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\factory\Pineapple.java,factory.Pineapple,class,1,2,1,1,5,2,0,4,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,33,1,0,0,1,0,1,14,15,6,0,1,0,0,0,15,1,0
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\strategy\Level3.java,strategy.Level3,class,1,3,2,1,3,1,0,0,1,0.5,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,2,1,0,2,0,0,0,0,0,13,2,0,0,0,0,0,1,2,0,2,0,0,0,0,10,1,0
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\factory\Factory.java,factory.Factory,class,12,14,2,12,10,1,0,2,3,0.6666667,0.0,0.0,3,1,2,1,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,28,7,0,0,0,1,0,6,3,0,3,1,0,0,0,19,1,0
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\strategy\Level2.java,strategy.Level2,class,1,3,2,1,3,1,0,0,1,0.5,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,1,0,0,13,2,0,0,0,0,0,1,2,0,2,0,0,0,0,10,1,0
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\strategy\Level1.java,strategy.Level1,class,1,2,1,1,3,1,0,0,1,0.5,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,1,0,0,13,2,0,0,0,0,0,1,2,0,2,0,0,0,0,10,1,0
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\modelLayer\Fruits.java,modelLayer.Fruits,class,1,2,1,1,3,1,0,0,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,12,1,0,0,0,0,0,0,2,0,1,0,0,0,0,4,1,0
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\factory\Peach.java,factory.Peach,class,1,2,1,1,5,2,0,4,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,32,1,0,0,1,0,1,9,14,2,0,1,0,0,0,15,1,0
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\viewLayer\ViewFrame.java,viewLayer.ViewFrame,class,1,3,2,1,5,6,0,10,3,0.6666667,0.0,0.0,3,0,1,1,1,0,2,0,0,0,2,0,0,2,0,0,0,0,1,25,0,0,1,1,0,1,1,2,0,2,1,0,0,0,19,1,0
