file,class,method,variable,usage
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,hitFruit/0,mouse,2
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,hitFruit/0,HIGHESTSCORE,1
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,hitFruit/0,model,7
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,hitFruit/0,dead,1
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,hitFruit/0,user,4
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,setStart/1[boolean],start,3
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,setSimpleDB/1[modelLayer.UserDB],userDB,3
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,setUser/1[modelLayer.User],user,3
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,checkLost/0,model,6
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,checkLost/0,dead,1
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,setPanel/1[viewLayer.GamePanel],panel,3
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,setSetUsername/1[boolean],setUsername,3
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,setHitBomb/1[boolean],hitBomb,3
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,removeFruit/0,model,3
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,isDead/0,dead,1
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,getFruits/0,factory,1
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,getFruits/0,model,1
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,getFruits/0,strategy,1
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,setStrategy/1[strategy.Strategy],strategy,3
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,setDead/1[boolean],dead,3
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,run/0,userDB,1
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,run/0,FREQUENCY,2
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,run/0,TIMEFORLEVEL2,1
