file,class,method,variable,usage
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,hitFruit/0,size,2
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,hitFruit/0,distance,2
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,hitFruit/0,i,8
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,setStart/1[boolean],start,2
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,setSimpleDB/1[modelLayer.UserDB],userDB,2
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,setUser/1[modelLayer.User],user,2
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,checkLost/0,size,2
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,checkLost/0,i,7
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,setPanel/1[viewLayer.GamePanel],panel,2
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,setSetUsername/1[boolean],setUsername,2
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,setHitBomb/1[boolean],hitBomb,2
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,dateToString/0,date,1
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,dateToString/0,dateFormat,1
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,removeFruit/0,size,2
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,removeFruit/0,i,4
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,getFruits/0,fruit,1
C:\Users\MYPC\Desktop-Fruit-Ninja-App-master\Desktop-Fruit-Ninja-App-master\OOFinalProject\src\controllerLayer\Controller.java,controllerLayer.Controller,setStrategy/1[strategy.Strategy],strategy,2
