file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Wine.java,Wine,class,8,10,2,8,14,1,0,18,2,0.72222227,0.4722222,0.5833333,9,0,9,0,0,0,9,0,0,0,4,0,0,3,0,1,0,0,3,70,0,1,1,0,0,33,22,6,9,7,2,0,0,0,72,1,0
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\ScreenCommand.java,ScreenCommand,class,3,4,1,3,2,1,0,2,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,10,0,0,0,0,0,0,0,2,0,2,0,0,0,0,8,1,0
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GoTo.java,GoTo,interface,0,1,1,0,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Category.java,Category,class,2,3,1,2,10,1,0,6,13,0.6666667,0.06666667,0.06666667,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,1,43,0,0,0,0,0,13,4,1,1,1,1,0,0,0,44,1,0
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Vegetables.java,Vegetables,class,8,10,2,8,14,1,0,18,2,0.6296296,0.4722222,0.5833333,9,0,9,0,0,0,9,0,0,0,3,0,0,2,0,1,0,0,3,69,0,1,1,0,0,33,22,6,9,6,2,0,0,0,66,1,0
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,class,13,23,10,13,34,1,0,19,3,0.85265714,0.54112554,0.82251084,23,1,22,1,0,0,22,0,0,0,18,1,0,18,0,0,0,0,1,148,4,0,10,0,0,1,4,22,3,18,2,0,0,0,61,1,0
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\PhoneNumberObserver.java,PhoneNumberObserver,interface,0,3,3,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\PhoneNumberStateMachine.java,PhoneNumberStateMachine,interface,0,5,5,0,8,1,0,0,28,0.0,0.0,0.0,8,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Item.java,Item,class,0,7,7,0,3,1,0,0,0,0.33333334,0.6666667,1.0,3,0,2,0,0,1,3,0,0,0,2,0,0,2,0,0,0,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,18,1,0
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\ICommand.java,ICommand,interface,0,1,1,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\TwoFieldsEntered.java,TwoFieldsEntered,class,2,3,1,2,7,1,0,4,3,0.33333334,0.4,0.4,6,0,6,0,0,0,6,0,0,0,1,0,0,0,0,1,0,0,0,24,2,0,1,0,0,1,1,1,0,1,1,0,0,0,30,1,0
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\PhoneNumberSubject.java,PhoneNumberSubject,interface,1,2,1,1,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Dairy.java,Dairy,class,8,10,2,8,15,1,0,18,9,0.6333334,0.4,0.62222224,10,0,10,0,0,0,10,0,0,0,3,0,0,2,0,1,0,0,3,72,1,1,1,0,0,33,22,6,9,6,2,0,0,0,77,1,0
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\EasyGrocery.java,EasyGrocery,class,1,1,0,1,8,1,0,9,0,0.0,1.0,1.0,8,0,8,0,0,0,8,0,0,0,1,0,0,1,0,0,0,0,1,28,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17,1,0
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\SendMyCart.java,SendMyCart,interface,1,5,4,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\PhoneNumberState.java,PhoneNumberState,interface,0,5,5,0,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryScreen.java,GroceryScreen,interface,0,9,9,0,5,1,0,0,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\CashHandler.java,CashHandler,class,1,2,1,1,3,1,0,1,3,0.8333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,1,1,0,0,0,0,0,13,0,0,0,0,0,2,0,1,0,2,0,0,0,0,42,1,0
