file,class,method,variable,usage
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Wine.java,Wine,Wine/0,gc,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Wine.java,Wine,Wine/0,wineal,6
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Wine.java,Wine,checkOut/0,gc,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Wine.java,Wine,display/0,wineal,12
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Wine.java,Wine,registerObserver/1[ItemObserver],gc,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Wine.java,Wine,touch/1[int],c,2
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Wine.java,Wine,touch/1[int],gc,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Wine.java,Wine,touch/1[int],wineal,6
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Wine.java,Wine,notifyObservers/1[Item],gc,2
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Wine.java,Wine,removeObserver/1[ItemObserver],gc,2
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\ScreenCommand.java,ScreenCommand,execute/0,screen,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\ScreenCommand.java,ScreenCommand,ScreenCommand/1[GroceryScreen],screen,3
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Category.java,Category,touch/1[int],gc,4
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Category.java,Category,Category/0,gc,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Vegetables.java,Vegetables,Vegetables/0,gc,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Vegetables.java,Vegetables,Vegetables/0,vegal,6
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Vegetables.java,Vegetables,checkOut/0,gc,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Vegetables.java,Vegetables,removeObserver/1[ItemObserver],gc,2
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Vegetables.java,Vegetables,notifyObservers/1[Item],gc,2
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Vegetables.java,Vegetables,display/0,vegal,12
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Vegetables.java,Vegetables,registerObserver/1[ItemObserver],gc,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Vegetables.java,Vegetables,touch/1[int],c,2
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Vegetables.java,Vegetables,touch/1[int],gc,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Vegetables.java,Vegetables,touch/1[int],vegal,6
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,goBakery/0,current,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,goBakery/0,bakery,2
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,goBakery/0,gobakery,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,goBakery/0,history,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,backspace/0,current,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,goCheckOut/0,current,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,goCheckOut/0,history,1
