file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Wine.java,Wine,Wine/0,true,16,2,3,1,2,1,2,9,0,0,0,2,0,0,0,0,0,0,6,6,1,0,0,0,0,0,19,1,0,false
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Wine.java,Wine,checkOut/0,false,79,1,1,0,1,1,2,5,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1,0,false
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Wine.java,Wine,display/0,false,26,1,2,0,2,1,4,17,0,0,0,4,0,0,0,0,0,0,21,12,0,6,0,0,0,0,13,1,0,false
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Wine.java,Wine,type/1[int],false,77,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Wine.java,Wine,backspace/0,false,85,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Wine.java,Wine,registerObserver/1[ItemObserver],false,87,2,2,1,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Wine.java,Wine,touch/1[int],false,44,5,6,0,6,4,9,16,0,0,1,9,2,1,0,1,0,0,4,2,1,3,2,0,0,0,23,1,0,false
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Wine.java,Wine,notifyObservers/1[Item],false,67,3,3,1,2,2,4,6,0,2,1,4,0,0,1,0,0,0,0,1,2,0,1,0,0,0,7,1,0,false
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Wine.java,Wine,removeObserver/1[ItemObserver],false,91,2,1,0,1,2,3,4,0,1,1,3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,5,1,0,false
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\ScreenCommand.java,ScreenCommand,execute/0,false,11,1,9,7,2,1,2,4,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\ScreenCommand.java,ScreenCommand,ScreenCommand/1[GroceryScreen],true,6,1,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GoTo.java,GoTo,goToHome/0,false,11,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GoTo.java,GoTo,checkMyCart/0,false,10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GoTo.java,GoTo,goBack/0,false,12,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Category.java,Category,display/0,false,16,0,0,0,0,1,1,13,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,23,1,0,false
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Category.java,Category,touch/1[int],false,32,1,4,0,4,5,5,18,0,0,1,5,0,0,0,0,0,0,2,4,0,1,1,0,0,0,4,1,0,false
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Category.java,Category,backspace/0,false,56,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Category.java,Category,checkOut/0,false,54,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Category.java,Category,type/1[int],false,52,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Category.java,Category,Category/0,true,12,1,2,1,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,false
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Vegetables.java,Vegetables,Vegetables/0,true,16,2,3,1,2,1,2,9,0,0,0,2,0,0,0,0,0,0,6,6,1,0,0,0,0,0,14,1,0,false
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Vegetables.java,Vegetables,checkOut/0,false,81,1,1,0,1,1,2,5,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1,0,false
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Vegetables.java,Vegetables,removeObserver/1[ItemObserver],false,94,2,1,0,1,2,3,4,0,1,1,3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,5,1,0,false
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Vegetables.java,Vegetables,notifyObservers/1[Item],false,69,3,3,1,2,2,4,6,0,2,1,4,0,0,1,0,0,0,0,1,2,0,1,0,0,0,7,1,0,false
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Vegetables.java,Vegetables,display/0,false,26,1,2,0,2,1,4,17,0,0,0,4,0,0,0,0,0,0,21,12,0,6,0,0,0,0,13,1,0,false
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Vegetables.java,Vegetables,type/1[int],false,79,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Vegetables.java,Vegetables,registerObserver/1[ItemObserver],false,89,2,2,1,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Vegetables.java,Vegetables,touch/1[int],false,44,5,6,0,6,4,9,16,0,0,1,9,2,1,0,1,0,0,4,2,1,3,2,0,0,0,23,1,0,false
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Vegetables.java,Vegetables,backspace/0,false,87,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,goBakery/0,false,141,1,2,1,1,2,2,6,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,1,0,false
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,backspace/0,false,178,1,2,1,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
