file,class,method,variable,usage
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Wine.java,Wine,type/1[int],j,0
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Wine.java,Wine,registerObserver/1[ItemObserver],obj,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Wine.java,Wine,touch/1[int],i,6
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Wine.java,Wine,notifyObservers/1[Item],observer,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Wine.java,Wine,notifyObservers/1[Item],item,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Wine.java,Wine,notifyObservers/1[Item],i,3
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Wine.java,Wine,removeObserver/1[ItemObserver],obj,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Wine.java,Wine,removeObserver/1[ItemObserver],i,2
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\ScreenCommand.java,ScreenCommand,execute/0,gc,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\ScreenCommand.java,ScreenCommand,ScreenCommand/1[GroceryScreen],screen,2
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Category.java,Category,touch/1[int],i,2
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Category.java,Category,type/1[int],j,0
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Vegetables.java,Vegetables,removeObserver/1[ItemObserver],obj,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Vegetables.java,Vegetables,removeObserver/1[ItemObserver],i,2
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Vegetables.java,Vegetables,notifyObservers/1[Item],observer,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Vegetables.java,Vegetables,notifyObservers/1[Item],item,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Vegetables.java,Vegetables,notifyObservers/1[Item],i,3
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Vegetables.java,Vegetables,type/1[int],j,0
