file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,class,16,24,8,16,27,6,0,69,0,0.8402779,0.0,0.0,9,1,2,7,0,0,2,0,0,0,16,0,0,16,0,0,0,0,11,246,1,4,8,1,0,30,77,42,0,35,6,7,0,0,114,1,0
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\enterpriseadministrator\ManageDonorUserAccountJPanel.java,userinterface.enterpriseadministrator.ManageDonorUserAccountJPanel$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\enterpriseadministrator\ManageDonorUserAccountJPanel.java,userinterface.enterpriseadministrator.ManageDonorUserAccountJPanel$Anonymous2,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,7,-1,0
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\enterpriseadministrator\ManageDonorUserAccountJPanel.java,userinterface.enterpriseadministrator.ManageDonorUserAccountJPanel$Anonymous3,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\volunteer\WorkerWorkAreaJPanel.java,userinterface.volunteer.WorkerWorkAreaJPanel,class,6,10,4,6,15,5,0,42,2,0.7700001,NaN,NaN,5,0,1,4,0,0,1,0,0,0,20,0,0,20,0,0,0,0,4,120,0,1,0,0,0,27,48,35,1,32,2,2,0,0,102,1,0
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\statistics\OrganizationLevelAnalysisJPanel.java,userinterface.statistics.OrganizationLevelAnalysisJPanel$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\donor\ViewDonorDonations.java,userinterface.donor.ViewDonorDonations$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\donor\ViewDonorDonations.java,userinterface.donor.ViewDonorDonations$Anonymous1,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,7,-1,0
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\donor\ViewDonorDonations.java,userinterface.donor.ViewDonorDonations$Anonymous3,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\enterpriseadministrator\AddProjectsJPanel.java,userinterface.enterpriseadministrator.AddProjectsJPanel,class,5,9,4,5,9,5,0,45,4,0.76470596,NaN,NaN,5,0,1,4,0,0,1,0,0,0,17,0,0,17,0,0,0,0,7,103,0,0,1,1,0,12,27,21,1,22,2,2,0,0,75,1,0
