file,class,method,variable,usage
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,initComponents/0,jLabel2,6
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,initComponents/0,txtPass,6
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,initComponents/0,btnStats,6
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,initComponents/0,btnLogOut,8
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,initComponents/0,jButton1,6
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,initComponents/0,txtUserName,5
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,initComponents/0,userProcessContainer,4
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,initComponents/0,jSplitPane,8
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,initComponents/0,btnAddDonor,6
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,initComponents/0,jLabel1,6
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,initComponents/0,btnVolEnroll,6
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,initComponents/0,masterPanel,5
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,initComponents/0,chartJPanel,5
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,initComponents/0,btnSubmit,7
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnSubmitActionPerformed/1[java.awt.event.ActionEvent],txtPass,3
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnSubmitActionPerformed/1[java.awt.event.ActionEvent],btnLogOut,2
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnSubmitActionPerformed/1[java.awt.event.ActionEvent],txtUserName,3
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnSubmitActionPerformed/1[java.awt.event.ActionEvent],system,3
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnSubmitActionPerformed/1[java.awt.event.ActionEvent],userProcessContainer,4
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnSubmitActionPerformed/1[java.awt.event.ActionEvent],btnSubmit,3
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnStatsActionPerformed/1[java.awt.event.ActionEvent],system,4
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnStatsActionPerformed/1[java.awt.event.ActionEvent],userProcessContainer,4
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,jButton1ActionPerformed/1[java.awt.event.ActionEvent],system,1
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,jButton1ActionPerformed/1[java.awt.event.ActionEvent],userProcessContainer,4
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnVolEnrollActionPerformed/1[java.awt.event.ActionEvent],system,1
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnVolEnrollActionPerformed/1[java.awt.event.ActionEvent],userProcessContainer,4
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,MainJFrame/0,system,1
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,MainJFrame/0,dB4OUtil,1
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnAddDonorActionPerformed/1[java.awt.event.ActionEvent],system,1
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnAddDonorActionPerformed/1[java.awt.event.ActionEvent],userProcessContainer,4
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnLogOutActionPerformed/1[java.awt.event.ActionEvent],txtPass,2
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnLogOutActionPerformed/1[java.awt.event.ActionEvent],btnLogOut,1
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnLogOutActionPerformed/1[java.awt.event.ActionEvent],txtUserName,2
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnLogOutActionPerformed/1[java.awt.event.ActionEvent],system,1
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnLogOutActionPerformed/1[java.awt.event.ActionEvent],userProcessContainer,4
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnLogOutActionPerformed/1[java.awt.event.ActionEvent],dB4OUtil,1
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnLogOutActionPerformed/1[java.awt.event.ActionEvent],btnSubmit,1
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\enterpriseadministrator\ManageDonorUserAccountJPanel.java,userinterface.enterpriseadministrator.ManageDonorUserAccountJPanel$Anonymous2,"isCellEditable/2[int,int]",canEdit,1
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\volunteer\WorkerWorkAreaJPanel.java,userinterface.volunteer.WorkerWorkAreaJPanel,btnSubmit3ActionPerformed/1[java.awt.event.ActionEvent],txtCity,2
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\volunteer\WorkerWorkAreaJPanel.java,userinterface.volunteer.WorkerWorkAreaJPanel,btnSubmit3ActionPerformed/1[java.awt.event.ActionEvent],txtNumber,3
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\volunteer\WorkerWorkAreaJPanel.java,userinterface.volunteer.WorkerWorkAreaJPanel,btnSubmit3ActionPerformed/1[java.awt.event.ActionEvent],txtPin,3
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\volunteer\WorkerWorkAreaJPanel.java,userinterface.volunteer.WorkerWorkAreaJPanel,btnSubmit3ActionPerformed/1[java.awt.event.ActionEvent],txtAddrL2,2
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\volunteer\WorkerWorkAreaJPanel.java,userinterface.volunteer.WorkerWorkAreaJPanel,btnSubmit3ActionPerformed/1[java.awt.event.ActionEvent],txtAddrL1,2
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\volunteer\WorkerWorkAreaJPanel.java,userinterface.volunteer.WorkerWorkAreaJPanel,btnSubmit3ActionPerformed/1[java.awt.event.ActionEvent],account,1
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\volunteer\WorkerWorkAreaJPanel.java,userinterface.volunteer.WorkerWorkAreaJPanel,btnSubmit3ActionPerformed/1[java.awt.event.ActionEvent],txtState,2
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\volunteer\WorkerWorkAreaJPanel.java,userinterface.volunteer.WorkerWorkAreaJPanel,"WorkerWorkAreaJPanel/2[javax.swing.JPanel,business.useraccount.UserAccount]",userProcessContainer,3
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\volunteer\WorkerWorkAreaJPanel.java,userinterface.volunteer.WorkerWorkAreaJPanel,"WorkerWorkAreaJPanel/2[javax.swing.JPanel,business.useraccount.UserAccount]",account,3
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\volunteer\WorkerWorkAreaJPanel.java,userinterface.volunteer.WorkerWorkAreaJPanel,btnViewProjectActionPerformed/1[java.awt.event.ActionEvent],userProcessContainer,4
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\volunteer\WorkerWorkAreaJPanel.java,userinterface.volunteer.WorkerWorkAreaJPanel,btnViewProjectActionPerformed/1[java.awt.event.ActionEvent],tblProjects,2
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\volunteer\WorkerWorkAreaJPanel.java,userinterface.volunteer.WorkerWorkAreaJPanel,initComponents/0,txtCity,3
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\volunteer\WorkerWorkAreaJPanel.java,userinterface.volunteer.WorkerWorkAreaJPanel,initComponents/0,jLabel3,4
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\volunteer\WorkerWorkAreaJPanel.java,userinterface.volunteer.WorkerWorkAreaJPanel,initComponents/0,jLabel5,4
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\volunteer\WorkerWorkAreaJPanel.java,userinterface.volunteer.WorkerWorkAreaJPanel,initComponents/0,jLabel4,4
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\volunteer\WorkerWorkAreaJPanel.java,userinterface.volunteer.WorkerWorkAreaJPanel,initComponents/0,jLabel7,4
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\volunteer\WorkerWorkAreaJPanel.java,userinterface.volunteer.WorkerWorkAreaJPanel,initComponents/0,jLabel6,4
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\volunteer\WorkerWorkAreaJPanel.java,userinterface.volunteer.WorkerWorkAreaJPanel,initComponents/0,txtPin,3
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\volunteer\WorkerWorkAreaJPanel.java,userinterface.volunteer.WorkerWorkAreaJPanel,initComponents/0,txtNumber,3
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\volunteer\WorkerWorkAreaJPanel.java,userinterface.volunteer.WorkerWorkAreaJPanel,initComponents/0,jLabel9,4
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\volunteer\WorkerWorkAreaJPanel.java,userinterface.volunteer.WorkerWorkAreaJPanel,initComponents/0,jLabel8,4
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\volunteer\WorkerWorkAreaJPanel.java,userinterface.volunteer.WorkerWorkAreaJPanel,initComponents/0,tblProjects,3
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\volunteer\WorkerWorkAreaJPanel.java,userinterface.volunteer.WorkerWorkAreaJPanel,initComponents/0,jScrollPane1,4
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\volunteer\WorkerWorkAreaJPanel.java,userinterface.volunteer.WorkerWorkAreaJPanel,initComponents/0,jLabel1,4
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\volunteer\WorkerWorkAreaJPanel.java,userinterface.volunteer.WorkerWorkAreaJPanel,initComponents/0,txtState,3
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\volunteer\WorkerWorkAreaJPanel.java,userinterface.volunteer.WorkerWorkAreaJPanel,initComponents/0,txtAddrL2,3
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\volunteer\WorkerWorkAreaJPanel.java,userinterface.volunteer.WorkerWorkAreaJPanel,initComponents/0,btnSubmit3,5
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\volunteer\WorkerWorkAreaJPanel.java,userinterface.volunteer.WorkerWorkAreaJPanel,initComponents/0,btnViewProject,5
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\volunteer\WorkerWorkAreaJPanel.java,userinterface.volunteer.WorkerWorkAreaJPanel,initComponents/0,txtAddrL1,3
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\volunteer\WorkerWorkAreaJPanel.java,userinterface.volunteer.WorkerWorkAreaJPanel,populateTabel/0,tblProjects,1
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\volunteer\WorkerWorkAreaJPanel.java,userinterface.volunteer.WorkerWorkAreaJPanel,populateTabel/0,account,1
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\donor\ViewDonorDonations.java,userinterface.donor.ViewDonorDonations$Anonymous1,"isCellEditable/2[int,int]",canEdit,1
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\enterpriseadministrator\AddProjectsJPanel.java,userinterface.enterpriseadministrator.AddProjectsJPanel,updateState/0,txtEvent,2
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\enterpriseadministrator\AddProjectsJPanel.java,userinterface.enterpriseadministrator.AddProjectsJPanel,updateState/0,projectView,4
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\enterpriseadministrator\AddProjectsJPanel.java,userinterface.enterpriseadministrator.AddProjectsJPanel,updateState/0,txtFundsReq,2
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\enterpriseadministrator\AddProjectsJPanel.java,userinterface.enterpriseadministrator.AddProjectsJPanel,updateState/0,btnAddEvent,1
