file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,initComponents/0,false,47,0,2,1,1,1,35,98,0,1,0,35,0,0,0,0,0,0,20,76,15,0,0,6,0,0,66,2,0,true
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnSubmitActionPerformed/1[java.awt.event.ActionEvent],false,202,10,10,1,9,10,18,56,1,8,1,18,0,0,3,6,0,0,2,0,15,0,6,0,0,0,27,2,0,false
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnStatsActionPerformed/1[java.awt.event.ActionEvent],false,286,2,3,1,2,4,5,10,0,2,1,5,0,0,0,2,0,0,1,1,2,0,2,0,0,0,18,2,0,false
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,jButton1ActionPerformed/1[java.awt.event.ActionEvent],false,307,1,2,1,1,1,3,6,0,2,1,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,16,2,0,false
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,main/1[java.lang.String[]],false,327,1,1,0,1,7,9,28,0,0,1,9,0,0,1,0,1,0,1,0,0,0,3,1,0,0,21,9,0,true
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnVolEnrollActionPerformed/1[java.awt.event.ActionEvent],false,298,1,2,1,1,1,3,6,0,2,1,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,16,2,0,false
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,MainJFrame/0,true,34,2,3,1,2,1,2,4,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,true
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnAddDonorActionPerformed/1[java.awt.event.ActionEvent],false,315,1,2,1,1,1,3,6,0,2,1,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,15,2,0,false
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnLogOutActionPerformed/1[java.awt.event.ActionEvent],false,268,1,2,1,1,1,9,14,0,2,1,9,0,0,0,0,0,0,3,0,2,0,0,0,0,0,18,2,0,false
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\enterpriseadministrator\ManageDonorUserAccountJPanel.java,userinterface.enterpriseadministrator.ManageDonorUserAccountJPanel$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],false,79,1,119,0,119,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\enterpriseadministrator\ManageDonorUserAccountJPanel.java,userinterface.enterpriseadministrator.ManageDonorUserAccountJPanel$Anonymous2,"isCellEditable/2[int,int]",false,103,0,0,0,0,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\enterpriseadministrator\ManageDonorUserAccountJPanel.java,userinterface.enterpriseadministrator.ManageDonorUserAccountJPanel$Anonymous3,actionPerformed/1[java.awt.event.ActionEvent],false,111,1,119,0,119,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\volunteer\WorkerWorkAreaJPanel.java,userinterface.volunteer.WorkerWorkAreaJPanel,btnSubmit3ActionPerformed/1[java.awt.event.ActionEvent],false,217,3,7,1,6,9,8,20,0,5,1,8,0,0,0,0,0,0,10,0,5,1,2,0,0,0,22,2,0,false
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\volunteer\WorkerWorkAreaJPanel.java,userinterface.volunteer.WorkerWorkAreaJPanel,"WorkerWorkAreaJPanel/2[javax.swing.JPanel,business.useraccount.UserAccount]",true,30,2,3,1,2,1,2,6,0,0,2,2,2,1,0,0,0,0,0,0,2,0,0,0,0,0,17,1,0,true
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\volunteer\WorkerWorkAreaJPanel.java,userinterface.volunteer.WorkerWorkAreaJPanel,btnViewProjectActionPerformed/1[java.awt.event.ActionEvent],false,202,2,2,1,1,2,6,13,0,4,1,6,0,0,0,0,0,0,3,2,4,0,1,0,0,0,20,2,0,false
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\volunteer\WorkerWorkAreaJPanel.java,userinterface.volunteer.WorkerWorkAreaJPanel,initComponents/0,false,59,0,2,1,1,1,21,48,0,1,0,21,0,0,0,0,0,0,14,41,19,0,0,2,0,0,56,2,0,true
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\volunteer\WorkerWorkAreaJPanel.java,userinterface.volunteer.WorkerWorkAreaJPanel,populateTabel/0,false,38,3,5,1,4,2,7,11,0,2,0,7,0,0,1,0,0,0,0,5,5,0,1,0,0,0,9,2,0,false
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\statistics\OrganizationLevelAnalysisJPanel.java,userinterface.statistics.OrganizationLevelAnalysisJPanel$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],false,60,1,119,0,119,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\donor\ViewDonorDonations.java,userinterface.donor.ViewDonorDonations$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],false,96,1,119,0,119,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\donor\ViewDonorDonations.java,userinterface.donor.ViewDonorDonations$Anonymous1,"isCellEditable/2[int,int]",false,85,0,0,0,0,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\donor\ViewDonorDonations.java,userinterface.donor.ViewDonorDonations$Anonymous3,actionPerformed/1[java.awt.event.ActionEvent],false,107,1,119,0,119,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\enterpriseadministrator\AddProjectsJPanel.java,userinterface.enterpriseadministrator.AddProjectsJPanel,updateState/0,false,39,1,4,1,3,2,7,12,0,0,0,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,2,0,false
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\enterpriseadministrator\AddProjectsJPanel.java,userinterface.enterpriseadministrator.AddProjectsJPanel,"AddProjectsJPanel/4[javax.swing.JPanel,business.enterprise.Enterprise,business.project.Project,java.lang.String]",true,30,3,4,2,2,1,3,8,0,0,4,3,2,1,0,0,0,0,0,0,3,0,0,0,0,0,14,1,0,false
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\enterpriseadministrator\AddProjectsJPanel.java,userinterface.enterpriseadministrator.AddProjectsJPanel,btnAddEventActionPerformed/1[java.awt.event.ActionEvent],false,171,3,6,1,5,4,10,17,0,0,1,10,0,0,0,0,1,0,4,0,1,0,2,0,0,0,12,2,0,false
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\enterpriseadministrator\AddProjectsJPanel.java,userinterface.enterpriseadministrator.AddProjectsJPanel,btnBackActionPerformed/1[java.awt.event.ActionEvent],false,189,1,2,1,1,1,5,9,0,4,1,5,0,0,0,0,0,0,0,1,4,1,0,0,0,0,19,2,0,false
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\enterpriseadministrator\AddProjectsJPanel.java,userinterface.enterpriseadministrator.AddProjectsJPanel,initComponents/0,false,59,0,2,1,1,1,21,38,0,1,0,21,0,0,0,0,0,0,8,26,13,0,0,2,0,0,46,2,0,true
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\enterpriseadministrator\ManageProjectVolunteer.java,userinterface.enterpriseadministrator.ManageProjectVolunteer,btnAddVolActionPerformed/1[java.awt.event.ActionEvent],false,191,3,5,1,4,1,5,7,0,1,1,5,2,1,0,0,0,0,0,0,1,0,0,0,0,0,14,2,0,false
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\enterpriseadministrator\ManageProjectVolunteer.java,userinterface.enterpriseadministrator.ManageProjectVolunteer,jButton2ActionPerformed/1[java.awt.event.ActionEvent],false,199,3,5,1,4,2,7,13,0,2,1,7,2,1,0,0,0,0,2,2,2,0,1,0,0,0,17,2,0,false
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\enterpriseadministrator\ManageProjectVolunteer.java,userinterface.enterpriseadministrator.ManageProjectVolunteer,comboVolunteerActionPerformed/1[java.awt.event.ActionEvent],false,213,0,1,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,false
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\enterpriseadministrator\ManageProjectVolunteer.java,userinterface.enterpriseadministrator.ManageProjectVolunteer,"ManageProjectVolunteer/3[javax.swing.JPanel,business.project.Project,business.enterprise.Enterprise]",true,29,3,4,1,3,1,3,8,0,0,3,3,3,1,0,0,0,0,0,0,3,0,0,0,0,0,19,1,0,true
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\enterpriseadministrator\ManageProjectVolunteer.java,userinterface.enterpriseadministrator.ManageProjectVolunteer,populateTable/0,false,38,1,4,3,1,2,4,9,0,2,0,4,0,0,1,0,0,0,0,3,3,0,1,0,0,0,8,1,0,false
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\enterpriseadministrator\ManageProjectVolunteer.java,userinterface.enterpriseadministrator.ManageProjectVolunteer,populateNetworkComboBox/0,false,51,5,8,3,5,6,8,14,0,1,0,8,0,0,3,0,0,0,0,0,2,0,4,0,0,0,12,2,0,false
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\enterpriseadministrator\ManageProjectVolunteer.java,userinterface.enterpriseadministrator.ManageProjectVolunteer,btnBackActionPerformed/1[java.awt.event.ActionEvent],false,185,0,1,1,0,1,3,5,0,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,2,0,false
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\enterpriseadministrator\ManageProjectVolunteer.java,userinterface.enterpriseadministrator.ManageProjectVolunteer,initComponents/0,false,77,0,3,1,2,2,30,55,0,1,0,30,0,0,0,0,0,0,11,11,9,0,1,5,0,0,50,2,0,true
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\business\roles\NgoWorkerRole.java,business.roles.NgoWorkerRole,toString/0,false,28,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\business\roles\NgoWorkerRole.java,business.roles.NgoWorkerRole,"createWorkArea/6[javax.swing.JPanel,business.useraccount.UserAccount,business.organization.Organization,business.enterprise.Enterprise,business.network.Network,business.EcoSystem]",false,23,6,1,0,1,1,0,3,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\volunteer\TeacherWorkAreaJPanel.java,userinterface.volunteer.TeacherWorkAreaJPanel$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],false,95,1,119,0,119,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\volunteer\TeacherWorkAreaJPanel.java,userinterface.volunteer.TeacherWorkAreaJPanel$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],false,116,1,119,0,119,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\business\victim\VictimDirectory.java,business.victim.VictimDirectory,getVictimList/0,false,21,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\business\victim\VictimDirectory.java,business.victim.VictimDirectory,addVictim/0,false,29,1,2,1,1,1,1,5,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\business\victim\VictimDirectory.java,business.victim.VictimDirectory,VictimDirectory/0,true,17,1,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\business\victim\VictimDirectory.java,business.victim.VictimDirectory,setVictimList/1[java.util.ArrayList<business.victim.Victim>],false,25,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\enterpriseadministrator\workrequest\ViewWorkRequest.java,userinterface.enterpriseadministrator.workrequest.ViewWorkRequest$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],false,89,1,119,0,119,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\entepriseaccountant\EnterpriseAccountantWorkAreaJPanel.java,userinterface.entepriseaccountant.EnterpriseAccountantWorkAreaJPanel,showFunds/0,false,29,2,2,0,2,1,4,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\entepriseaccountant\EnterpriseAccountantWorkAreaJPanel.java,userinterface.entepriseaccountant.EnterpriseAccountantWorkAreaJPanel,initComponents/0,false,40,0,2,1,1,1,19,20,0,1,0,19,0,0,0,0,0,0,5,6,5,0,0,1,0,0,39,2,0,true
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\entepriseaccountant\EnterpriseAccountantWorkAreaJPanel.java,userinterface.entepriseaccountant.EnterpriseAccountantWorkAreaJPanel,btnViewProjectsActionPerformed/1[java.awt.event.ActionEvent],false,91,1,2,1,1,1,3,6,0,2,1,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,14,2,0,false
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\entepriseaccountant\EnterpriseAccountantWorkAreaJPanel.java,userinterface.entepriseaccountant.EnterpriseAccountantWorkAreaJPanel,"EnterpriseAccountantWorkAreaJPanel/2[javax.swing.JPanel,business.enterprise.Enterprise]",true,23,2,2,1,1,1,1,5,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,14,1,0,true
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\enterpriseadministrator\workrequest\ViewWorkRequest.java,userinterface.enterpriseadministrator.workrequest.ViewWorkRequest$Anonymous3,actionPerformed/1[java.awt.event.ActionEvent],false,96,1,119,0,119,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
