file,class,method,variable,usage
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,initComponents/0,masterPanelLayout,9
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnSubmitActionPerformed/1[java.awt.event.ActionEvent],layout,1
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnSubmitActionPerformed/1[java.awt.event.ActionEvent],evt,0
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnSubmitActionPerformed/1[java.awt.event.ActionEvent],password,3
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnSubmitActionPerformed/1[java.awt.event.ActionEvent],inNetwork,3
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnSubmitActionPerformed/1[java.awt.event.ActionEvent],enterprise,4
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnSubmitActionPerformed/1[java.awt.event.ActionEvent],userAccount,8
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnSubmitActionPerformed/1[java.awt.event.ActionEvent],organization,2
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnSubmitActionPerformed/1[java.awt.event.ActionEvent],passwordCharArray,1
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnSubmitActionPerformed/1[java.awt.event.ActionEvent],userName,3
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnSubmitActionPerformed/1[java.awt.event.ActionEvent],inEnterprise,4
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnSubmitActionPerformed/1[java.awt.event.ActionEvent],inOrganization,3
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnSubmitActionPerformed/1[java.awt.event.ActionEvent],network,3
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnStatsActionPerformed/1[java.awt.event.ActionEvent],layout,1
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnStatsActionPerformed/1[java.awt.event.ActionEvent],evt,0
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnStatsActionPerformed/1[java.awt.event.ActionEvent],statisticalAnalysisJPanel,1
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,jButton1ActionPerformed/1[java.awt.event.ActionEvent],layout,1
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,jButton1ActionPerformed/1[java.awt.event.ActionEvent],evt,0
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,jButton1ActionPerformed/1[java.awt.event.ActionEvent],addVictimJPanel,1
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,main/1[java.lang.String[]],args,0
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,main/1[java.lang.String[]],ex,7
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,main/1[java.lang.String[]],info,2
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnVolEnrollActionPerformed/1[java.awt.event.ActionEvent],layout,1
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnVolEnrollActionPerformed/1[java.awt.event.ActionEvent],evt,0
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnVolEnrollActionPerformed/1[java.awt.event.ActionEvent],volunteerEnrollJPanel,1
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnAddDonorActionPerformed/1[java.awt.event.ActionEvent],layout,1
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnAddDonorActionPerformed/1[java.awt.event.ActionEvent],evt,0
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnAddDonorActionPerformed/1[java.awt.event.ActionEvent],addDonorJPanel,1
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnLogOutActionPerformed/1[java.awt.event.ActionEvent],layout,1
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnLogOutActionPerformed/1[java.awt.event.ActionEvent],evt,0
C:\Users\HP-Eli\Global-Humanitarian-Aid--master\Global-Humanitarian-Aid--master\src\userinterface\MainJFrame.java,userinterface.MainJFrame,btnLogOutActionPerformed/1[java.awt.event.ActionEvent],blankJPanel,1
