file,class,method,variable,usage
C:\Jeopardy-master\Code\JeopardyTeam5\ClosedCard272.java,ClosedCard272,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",cats,7
C:\Jeopardy-master\Code\JeopardyTeam5\ClosedCard273.java,ClosedCard273,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",cats,7
C:\Jeopardy-master\Code\JeopardyTeam5\CountScore.java,CountScore,"printScore/2[int,int]",w,4
C:\Jeopardy-master\Code\JeopardyTeam5\CountScore.java,CountScore,CountScore/1[MyWorld],w,1
C:\Jeopardy-master\Code\JeopardyTeam5\CountScore.java,CountScore,CountScore/1[MyWorld],presentScore1,1
C:\Jeopardy-master\Code\JeopardyTeam5\CountScore.java,CountScore,CountScore/1[MyWorld],player,1
C:\Jeopardy-master\Code\JeopardyTeam5\CountScore.java,CountScore,CountScore/1[MyWorld],presentScore2,1
C:\Jeopardy-master\Code\JeopardyTeam5\CountScore.java,CountScore,update/1[int],w,4
C:\Jeopardy-master\Code\JeopardyTeam5\CountScore.java,CountScore,update/1[int],presentScore1,4
C:\Jeopardy-master\Code\JeopardyTeam5\CountScore.java,CountScore,update/1[int],player,2
C:\Jeopardy-master\Code\JeopardyTeam5\CountScore.java,CountScore,update/1[int],presentScore2,4
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,readCategories/1[java.util.ArrayList<java.lang.String>],categories,2
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,readCategories/1[java.util.ArrayList<java.lang.String>],MAX_CATS,2
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,readQuestions/1[java.util.ArrayList<java.lang.String>],numQuestions,3
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,readQuestions/1[java.util.ArrayList<java.lang.String>],questions,3
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,readQuestions/1[java.util.ArrayList<java.lang.String>],MAX_QUESTS,2
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,readQuestions/1[java.util.ArrayList<java.lang.String>],categories,1
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,act/0,filename,5
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,act/0,questions,2
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,act/0,cnt,2
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,act/0,MAX_QUESTS,1
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,act/0,categories,1
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,act/0,MAX_CATS,1
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,act/0,questionCards,1
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,getQCard/1[int],questionCards,1
