file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Jeopardy-master\Code\JeopardyTeam5\OpenCard272.java,OpenCard272,resetCard/0,false,23,2,2,0,2,1,2,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\OpenCard272.java,OpenCard272,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",false,6,3,0,0,0,1,0,3,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\OpenCard272.java,OpenCard272,"timeOutCard/2[MyWorld,ICardComponent]",false,12,9,3,1,2,1,3,8,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\ClosedCard272.java,ClosedCard272,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",false,6,9,8,0,8,10,8,36,1,2,6,8,0,0,1,7,0,2,6,27,9,0,2,0,0,0,21,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\ClosedCard272.java,ClosedCard272,"timeOutCard/2[MyWorld,ICardComponent]",false,42,4,2,0,2,1,1,3,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\ClosedCard272.java,ClosedCard272,resetCard/0,false,48,2,2,0,2,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\OpenCard273.java,OpenCard273,resetCard/0,false,23,2,2,0,2,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\OpenCard273.java,OpenCard273,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",false,6,3,0,0,0,1,0,3,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\OpenCard273.java,OpenCard273,"timeOutCard/2[MyWorld,ICardComponent]",false,12,9,3,1,2,1,3,8,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\QuestionScreen.java,QuestionScreen,act/0,false,15,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,true
C:\Jeopardy-master\Code\JeopardyTeam5\ClosedCard273.java,ClosedCard273,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",false,6,9,8,0,8,10,8,36,1,2,6,8,0,0,1,7,0,2,6,27,9,0,2,0,0,0,21,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\ClosedCard273.java,ClosedCard273,"timeOutCard/2[MyWorld,ICardComponent]",false,42,4,2,0,2,1,1,3,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\ClosedCard273.java,ClosedCard273,resetCard/0,false,48,2,2,0,2,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\CountDownTimer.java,CountDownTimer$Task,run/0,false,87,3,2,0,2,2,18,23,0,6,0,18,0,0,0,0,0,2,1,5,6,8,1,0,0,0,32,1,0,true
C:\Jeopardy-master\Code\JeopardyTeam5\ICardState.java,ICardState,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",false,4,3,1,1,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\ICardState.java,ICardState,"timeOutCard/2[MyWorld,ICardComponent]",false,5,2,4,4,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\ICardState.java,ICardState,resetCard/0,false,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\DisabledCard207.java,DisabledCard207,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",false,6,3,0,0,0,1,0,3,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\DisabledCard207.java,DisabledCard207,"timeOutCard/2[MyWorld,ICardComponent]",false,12,2,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\DisabledCard207.java,DisabledCard207,resetCard/0,false,18,2,2,0,2,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\CountScore.java,CountScore,"printScore/2[int,int]",false,28,1,2,1,1,1,3,5,0,0,2,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\CountScore.java,CountScore,CountScore/1[MyWorld],true,17,1,4,1,3,1,3,6,0,0,1,3,0,0,0,0,0,2,0,0,4,0,0,0,0,0,10,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\CountScore.java,CountScore,update/1[int],false,34,2,4,0,4,3,4,13,0,0,1,4,1,1,0,2,0,0,0,4,2,2,1,0,0,0,8,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\DisabledCard202.java,DisabledCard202,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",false,6,3,0,0,0,1,0,3,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\DisabledCard202.java,DisabledCard202,"timeOutCard/2[MyWorld,ICardComponent]",false,12,2,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\DisabledCard202.java,DisabledCard202,resetCard/0,false,18,2,2,0,2,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,displayQCard/1[ICardComponent],false,183,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,readCategories/1[java.util.ArrayList<java.lang.String>],false,230,0,1,1,0,5,9,19,0,4,1,9,0,0,1,1,0,2,6,6,5,5,3,0,0,0,24,2,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,readQuestions/1[java.util.ArrayList<java.lang.String>],false,253,1,2,1,1,6,9,26,0,6,1,9,0,0,1,2,0,2,6,10,8,6,4,0,0,0,32,2,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,act/0,false,58,6,13,0,13,9,14,40,0,2,0,14,9,3,1,4,1,1,10,10,8,0,3,0,0,0,55,1,0,true
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,getQCard/1[int],false,185,1,1,1,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,createAllQCards/1[java.lang.String],false,140,3,3,1,2,3,2,8,0,4,1,2,1,1,2,0,0,0,0,3,4,0,2,0,0,0,14,0,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,setName/1[java.lang.String],false,189,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,loadFile/1[java.lang.String],false,195,0,1,1,0,5,8,18,1,5,1,8,0,0,1,2,0,0,3,0,6,1,2,0,0,0,20,2,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,MainTopicComposite/1[java.lang.String],true,42,0,1,1,0,5,1,14,0,0,1,1,0,0,0,4,0,0,8,0,0,0,1,0,0,0,6,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,checkIfAllCardsDisabled/1[java.util.ArrayList<ICardComponent>],false,108,10,5,1,4,11,8,28,6,6,1,8,0,0,1,0,0,8,0,1,6,0,4,0,0,0,24,2,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,addAllQCardsToWorld/0,false,150,2,3,1,2,3,2,10,0,5,0,2,2,1,2,0,0,0,0,4,5,0,2,0,0,0,15,0,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,addQCard/1[ICardComponent],false,175,1,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,getName/0,false,192,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,convertUnicode/1[java.util.ArrayList<java.lang.String>],false,215,0,1,1,0,3,11,14,0,6,1,11,0,0,2,0,0,0,2,3,6,1,2,0,0,0,16,2,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,removeQCard/1[ICardComponent],false,179,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,readAnswers/1[java.util.ArrayList<java.lang.String>],false,283,1,2,1,1,6,11,26,0,6,1,11,0,0,1,1,0,2,8,8,6,5,4,0,0,0,31,2,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,"addQCardToWorld/3[ICardComponent,int,int]",false,162,3,2,1,1,1,2,10,0,1,3,2,0,0,0,0,0,0,0,24,1,0,0,0,0,0,17,0,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\GameScreen.java,GameScreen,act/0,false,16,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,true
C:\Jeopardy-master\Code\JeopardyTeam5\ICommand.java,ICommand,"execute/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",false,8,3,0,0,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\Observer.java,Observer,update/1[int],false,4,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\ResultScreen273.java,ResultScreen273,ResultScreen273/1[ICardComponent],true,16,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,1,0,true
C:\Jeopardy-master\Code\JeopardyTeam5\ResultScreen273.java,ResultScreen273,act/0,false,20,2,1,0,1,2,3,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\ResultScreen272.java,ResultScreen272,ResultScreen272/1[ICardComponent],true,16,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,1,0,true
C:\Jeopardy-master\Code\JeopardyTeam5\ResultScreen272.java,ResultScreen272,act/0,false,20,2,1,0,1,2,3,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\TextField.java,TextField,"wordWrap/2[java.lang.String,java.awt.Color]",false,120,1,3,3,0,2,4,13,0,8,2,4,0,0,1,0,0,0,2,4,8,2,1,0,0,0,15,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\TextField.java,TextField,attach/1[Observer],false,136,1,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\TextField.java,TextField,detach/1[Observer],false,141,1,0,0,0,1,2,4,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\TextField.java,TextField,"TextField/4[java.lang.String,ICardComponent,boolean,int]",true,29,2,5,4,1,1,1,8,0,0,4,1,1,1,0,0,0,0,0,0,5,0,0,0,0,0,11,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\TextField.java,TextField,act/0,false,53,18,11,0,11,11,12,56,1,2,0,12,3,1,0,3,0,3,8,21,8,1,3,0,0,0,36,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\TextField.java,TextField,notifyObserver/1[int],false,146,1,2,1,1,2,1,5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\TextField.java,TextField,"TextField/3[java.lang.String,ICardComponent,boolean]",true,38,2,1,0,1,1,1,8,0,0,3,1,1,1,0,0,0,0,0,0,5,0,0,0,0,0,11,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\Question.java,Question,act/0,false,56,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,true
C:\Jeopardy-master\Code\JeopardyTeam5\Question.java,Question,"wordWrap/2[java.lang.String,java.awt.Color]",false,28,1,1,1,0,4,5,19,0,11,2,5,0,0,2,0,0,1,6,7,13,5,1,0,0,0,17,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\Question.java,Question,"Question/2[java.lang.String,ICardComponent]",true,19,2,5,4,1,1,1,6,0,0,2,1,1,1,0,0,0,0,0,0,3,0,0,0,0,0,7,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\RoundOverText.java,RoundOverText,"RoundOverText/2[java.lang.String,java.awt.Color]",true,16,1,1,1,0,2,1,11,0,1,2,1,0,0,0,1,0,0,0,2,3,0,1,0,0,0,11,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\RoundOverText.java,RoundOverText,act/0,false,34,7,1,0,1,6,6,10,0,0,0,6,0,0,0,4,0,0,1,6,0,0,2,0,0,0,25,1,0,true
C:\Jeopardy-master\Code\JeopardyTeam5\MyWorld.java,MyWorld,setProvideTimer/1[boolean],false,69,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\MyWorld.java,MyWorld,startTimer/0,false,82,1,5,4,1,1,2,4,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\MyWorld.java,MyWorld,setQuestions/1[ChallengeQuestion[]],false,87,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\MyWorld.java,MyWorld,setScore2/1[int],false,99,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\MyWorld.java,MyWorld,getScore1/0,false,95,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\MyWorld.java,MyWorld,setPlayer/1[int],false,107,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\MyWorld.java,MyWorld,MyWorld/0,true,36,2,2,0,2,1,1,6,0,0,0,1,0,0,0,0,0,0,2,9,0,0,0,0,0,0,16,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\MyWorld.java,MyWorld,setScore1/1[int],false,91,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\MyWorld.java,MyWorld,getPlayer/0,false,111,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\MyWorld.java,MyWorld,setCurrentCard/1[ICardComponent],false,27,1,4,4,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\MyWorld.java,MyWorld,timeout/0,false,45,1,2,1,1,1,2,4,0,0,0,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\MyWorld.java,MyWorld,getScore2/0,false,103,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Jeopardy-master\Code\JeopardyTeam5\MyWorld.java,MyWorld,getCurrentCard/0,false,31,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
