file,class,method,variable,usage
C:\Jeopardy-master\Code\JeopardyTeam5\OpenCard272.java,OpenCard272,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",score,0
C:\Jeopardy-master\Code\JeopardyTeam5\OpenCard272.java,OpenCard272,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",world,0
C:\Jeopardy-master\Code\JeopardyTeam5\OpenCard272.java,OpenCard272,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",typeOfTopic,0
C:\Jeopardy-master\Code\JeopardyTeam5\OpenCard272.java,OpenCard272,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",x,0
C:\Jeopardy-master\Code\JeopardyTeam5\OpenCard272.java,OpenCard272,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",state,0
C:\Jeopardy-master\Code\JeopardyTeam5\OpenCard272.java,OpenCard272,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",card,0
C:\Jeopardy-master\Code\JeopardyTeam5\OpenCard272.java,OpenCard272,"timeOutCard/2[MyWorld,ICardComponent]",world,10
C:\Jeopardy-master\Code\JeopardyTeam5\OpenCard272.java,OpenCard272,"timeOutCard/2[MyWorld,ICardComponent]",card,1
C:\Jeopardy-master\Code\JeopardyTeam5\ClosedCard272.java,ClosedCard272,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",score,5
C:\Jeopardy-master\Code\JeopardyTeam5\ClosedCard272.java,ClosedCard272,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",q,12
C:\Jeopardy-master\Code\JeopardyTeam5\ClosedCard272.java,ClosedCard272,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",world,10
C:\Jeopardy-master\Code\JeopardyTeam5\ClosedCard272.java,ClosedCard272,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",typeOfTopic,0
C:\Jeopardy-master\Code\JeopardyTeam5\ClosedCard272.java,ClosedCard272,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",x,6
C:\Jeopardy-master\Code\JeopardyTeam5\ClosedCard272.java,ClosedCard272,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",i,13
C:\Jeopardy-master\Code\JeopardyTeam5\ClosedCard272.java,ClosedCard272,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",state,0
C:\Jeopardy-master\Code\JeopardyTeam5\ClosedCard272.java,ClosedCard272,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",card,8
C:\Jeopardy-master\Code\JeopardyTeam5\ClosedCard272.java,ClosedCard272,"timeOutCard/2[MyWorld,ICardComponent]",world,0
C:\Jeopardy-master\Code\JeopardyTeam5\ClosedCard272.java,ClosedCard272,"timeOutCard/2[MyWorld,ICardComponent]",card,1
C:\Jeopardy-master\Code\JeopardyTeam5\OpenCard273.java,OpenCard273,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",score,0
C:\Jeopardy-master\Code\JeopardyTeam5\OpenCard273.java,OpenCard273,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",world,0
C:\Jeopardy-master\Code\JeopardyTeam5\OpenCard273.java,OpenCard273,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",typeOfTopic,0
C:\Jeopardy-master\Code\JeopardyTeam5\OpenCard273.java,OpenCard273,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",x,0
C:\Jeopardy-master\Code\JeopardyTeam5\OpenCard273.java,OpenCard273,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",state,0
C:\Jeopardy-master\Code\JeopardyTeam5\OpenCard273.java,OpenCard273,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",card,0
C:\Jeopardy-master\Code\JeopardyTeam5\OpenCard273.java,OpenCard273,"timeOutCard/2[MyWorld,ICardComponent]",world,10
C:\Jeopardy-master\Code\JeopardyTeam5\OpenCard273.java,OpenCard273,"timeOutCard/2[MyWorld,ICardComponent]",card,1
C:\Jeopardy-master\Code\JeopardyTeam5\ClosedCard273.java,ClosedCard273,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",score,5
C:\Jeopardy-master\Code\JeopardyTeam5\ClosedCard273.java,ClosedCard273,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",q,12
C:\Jeopardy-master\Code\JeopardyTeam5\ClosedCard273.java,ClosedCard273,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",world,10
C:\Jeopardy-master\Code\JeopardyTeam5\ClosedCard273.java,ClosedCard273,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",typeOfTopic,0
C:\Jeopardy-master\Code\JeopardyTeam5\ClosedCard273.java,ClosedCard273,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",x,6
C:\Jeopardy-master\Code\JeopardyTeam5\ClosedCard273.java,ClosedCard273,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",i,13
C:\Jeopardy-master\Code\JeopardyTeam5\ClosedCard273.java,ClosedCard273,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",state,0
C:\Jeopardy-master\Code\JeopardyTeam5\ClosedCard273.java,ClosedCard273,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",card,8
C:\Jeopardy-master\Code\JeopardyTeam5\ClosedCard273.java,ClosedCard273,"timeOutCard/2[MyWorld,ICardComponent]",world,0
C:\Jeopardy-master\Code\JeopardyTeam5\ClosedCard273.java,ClosedCard273,"timeOutCard/2[MyWorld,ICardComponent]",card,1
C:\Jeopardy-master\Code\JeopardyTeam5\CountDownTimer.java,CountDownTimer$Task,run/0,img,9
C:\Jeopardy-master\Code\JeopardyTeam5\CountDownTimer.java,CountDownTimer$Task,run/0,g,2
C:\Jeopardy-master\Code\JeopardyTeam5\CountDownTimer.java,CountDownTimer$Task,run/0,fm,2
C:\Jeopardy-master\Code\JeopardyTeam5\CountDownTimer.java,CountDownTimer$Task,run/0,x,1
C:\Jeopardy-master\Code\JeopardyTeam5\CountDownTimer.java,CountDownTimer$Task,run/0,y,1
C:\Jeopardy-master\Code\JeopardyTeam5\CountDownTimer.java,CountDownTimer$Task,run/0,text,2
C:\Jeopardy-master\Code\JeopardyTeam5\ICardState.java,ICardState,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",score,0
C:\Jeopardy-master\Code\JeopardyTeam5\ICardState.java,ICardState,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",world,0
C:\Jeopardy-master\Code\JeopardyTeam5\ICardState.java,ICardState,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",typeOfTopic,0
C:\Jeopardy-master\Code\JeopardyTeam5\ICardState.java,ICardState,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",x,0
C:\Jeopardy-master\Code\JeopardyTeam5\ICardState.java,ICardState,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",state,0
C:\Jeopardy-master\Code\JeopardyTeam5\ICardState.java,ICardState,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",card,0
C:\Jeopardy-master\Code\JeopardyTeam5\ICardState.java,ICardState,"timeOutCard/2[MyWorld,ICardComponent]",world,0
C:\Jeopardy-master\Code\JeopardyTeam5\ICardState.java,ICardState,"timeOutCard/2[MyWorld,ICardComponent]",card,0
C:\Jeopardy-master\Code\JeopardyTeam5\DisabledCard207.java,DisabledCard207,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",score,0
C:\Jeopardy-master\Code\JeopardyTeam5\DisabledCard207.java,DisabledCard207,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",world,0
C:\Jeopardy-master\Code\JeopardyTeam5\DisabledCard207.java,DisabledCard207,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",typeOfTopic,0
C:\Jeopardy-master\Code\JeopardyTeam5\DisabledCard207.java,DisabledCard207,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",x,0
C:\Jeopardy-master\Code\JeopardyTeam5\DisabledCard207.java,DisabledCard207,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",state,0
C:\Jeopardy-master\Code\JeopardyTeam5\DisabledCard207.java,DisabledCard207,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",card,0
C:\Jeopardy-master\Code\JeopardyTeam5\DisabledCard207.java,DisabledCard207,"timeOutCard/2[MyWorld,ICardComponent]",world,0
C:\Jeopardy-master\Code\JeopardyTeam5\DisabledCard207.java,DisabledCard207,"timeOutCard/2[MyWorld,ICardComponent]",card,0
C:\Jeopardy-master\Code\JeopardyTeam5\CountScore.java,CountScore,"printScore/2[int,int]",score2,1
C:\Jeopardy-master\Code\JeopardyTeam5\CountScore.java,CountScore,"printScore/2[int,int]",score1,1
C:\Jeopardy-master\Code\JeopardyTeam5\CountScore.java,CountScore,CountScore/1[MyWorld],world,4
C:\Jeopardy-master\Code\JeopardyTeam5\CountScore.java,CountScore,update/1[int],point,2
C:\Jeopardy-master\Code\JeopardyTeam5\DisabledCard202.java,DisabledCard202,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",score,0
C:\Jeopardy-master\Code\JeopardyTeam5\DisabledCard202.java,DisabledCard202,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",world,0
C:\Jeopardy-master\Code\JeopardyTeam5\DisabledCard202.java,DisabledCard202,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",typeOfTopic,0
C:\Jeopardy-master\Code\JeopardyTeam5\DisabledCard202.java,DisabledCard202,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",x,0
C:\Jeopardy-master\Code\JeopardyTeam5\DisabledCard202.java,DisabledCard202,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",state,0
C:\Jeopardy-master\Code\JeopardyTeam5\DisabledCard202.java,DisabledCard202,"displayQCard/6[MyWorld,ICardState,ICardComponent,java.lang.String,java.lang.String,int]",card,0
C:\Jeopardy-master\Code\JeopardyTeam5\DisabledCard202.java,DisabledCard202,"timeOutCard/2[MyWorld,ICardComponent]",world,0
C:\Jeopardy-master\Code\JeopardyTeam5\DisabledCard202.java,DisabledCard202,"timeOutCard/2[MyWorld,ICardComponent]",card,0
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,displayQCard/1[ICardComponent],ques,0
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,readCategories/1[java.util.ArrayList<java.lang.String>],cat,1
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,readCategories/1[java.util.ArrayList<java.lang.String>],i,3
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,readCategories/1[java.util.ArrayList<java.lang.String>],index,5
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,readCategories/1[java.util.ArrayList<java.lang.String>],lines,2
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,readCategories/1[java.util.ArrayList<java.lang.String>],m,4
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,readQuestions/1[java.util.ArrayList<java.lang.String>],qst,1
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,readQuestions/1[java.util.ArrayList<java.lang.String>],question,1
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,readQuestions/1[java.util.ArrayList<java.lang.String>],i,3
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,readQuestions/1[java.util.ArrayList<java.lang.String>],index,6
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,readQuestions/1[java.util.ArrayList<java.lang.String>],lines,2
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,readQuestions/1[java.util.ArrayList<java.lang.String>],m,5
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,readQuestions/1[java.util.ArrayList<java.lang.String>],value,1
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,act/0,i,2
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,act/0,lines,4
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,act/0,ioe,0
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,getQCard/1[int],pos,1
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,createAllQCards/1[java.lang.String],categoryType,1
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,createAllQCards/1[java.lang.String],sc,2
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,createAllQCards/1[java.lang.String],ques,1
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,createAllQCards/1[java.lang.String],x,2
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,createAllQCards/1[java.lang.String],y,2
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,setName/1[java.lang.String],name,1
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,loadFile/1[java.lang.String],filename,2
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,loadFile/1[java.lang.String],classLoader,1
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,loadFile/1[java.lang.String],reader,3
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,loadFile/1[java.lang.String],line,5
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,loadFile/1[java.lang.String],is,2
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,loadFile/1[java.lang.String],lines,2
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,MainTopicComposite/1[java.lang.String],text,4
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,checkIfAllCardsDisabled/1[java.util.ArrayList<ICardComponent>],itr,2
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,checkIfAllCardsDisabled/1[java.util.ArrayList<ICardComponent>],state,7
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,checkIfAllCardsDisabled/1[java.util.ArrayList<ICardComponent>],questionCards,2
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,checkIfAllCardsDisabled/1[java.util.ArrayList<ICardComponent>],card,8
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,addAllQCardsToWorld/0,sc,1
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,addAllQCardsToWorld/0,pos,2
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,addAllQCardsToWorld/0,ques,1
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,addAllQCardsToWorld/0,x,3
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,addAllQCardsToWorld/0,y,3
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,addQCard/1[ICardComponent],ques,1
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,convertUnicode/1[java.util.ArrayList<java.lang.String>],code,1
C:\Jeopardy-master\Code\JeopardyTeam5\MainTopicComposite.java,MainTopicComposite,convertUnicode/1[java.util.ArrayList<java.lang.String>],unicode,1
