file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\MYPC\LibraryWebApplication-master\LibraryWebApplication-master\src\main\java\com\epam\finalweb\service\factory\FactoryService.java,com.epam.finalweb.service.factory.FactoryService,enum,6,23,17,6,3,1,0,0,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,13,3,0,0,0,0,0,0,3,0,3,0,0,0,0,18,1,0
C:\Users\MYPC\LibraryWebApplication-master\LibraryWebApplication-master\src\main\java\com\epam\finalweb\command\impl\RemoveBookCommand.java,com.epam.finalweb.command.impl.RemoveBookCommand,class,8,10,2,8,2,1,0,12,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,4,4,0,4,0,0,4,0,2,22,0,0,0,1,0,7,0,9,0,9,1,0,0,0,38,1,1
C:\Users\MYPC\LibraryWebApplication-master\LibraryWebApplication-master\src\main\java\com\epam\finalweb\service\exception\ValidationException.java,com.epam.finalweb.service.exception.ValidationException,class,0,1,1,0,4,3,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\Users\MYPC\LibraryWebApplication-master\LibraryWebApplication-master\src\main\java\com\epam\finalweb\domain\UserType.java,com.epam.finalweb.domain.UserType,enum,0,2,2,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
C:\Users\MYPC\LibraryWebApplication-master\LibraryWebApplication-master\src\main\java\com\epam\finalweb\controller\Controller.java,com.epam.finalweb.controller.Controller,class,7,8,1,7,7,2,0,7,21,1.0,0.0,0.0,7,0,2,1,4,0,6,0,0,0,1,1,0,1,0,0,1,0,2,25,0,0,0,0,1,1,1,3,0,3,0,0,0,0,28,1,0
C:\Users\MYPC\LibraryWebApplication-master\LibraryWebApplication-master\src\main\java\com\epam\finalweb\dao\exception\RuntimeException.java,com.epam.finalweb.dao.exception.RuntimeException,class,0,0,0,0,4,3,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\Users\MYPC\LibraryWebApplication-master\LibraryWebApplication-master\src\main\java\com\epam\finalweb\service\impl\UserServiceImpl.java,com.epam.finalweb.service.impl.UserServiceImpl,class,7,8,1,7,15,1,0,14,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,75,5,0,0,7,0,7,0,8,0,7,1,0,0,0,28,1,0
C:\Users\MYPC\LibraryWebApplication-master\LibraryWebApplication-master\src\main\java\com\epam\finalweb\filter\LoginCheckFilter.java,com.epam.finalweb.filter.LoginCheckFilter,class,8,8,0,8,10,1,0,7,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,2,0,0,8,0,5,0,5,3,0,0,0,28,1,0
C:\Users\MYPC\LibraryWebApplication-master\LibraryWebApplication-master\src\main\java\com\epam\finalweb\command\impl\UpdateUserCommand.java,com.epam.finalweb.command.impl.UpdateUserCommand,class,7,8,1,7,6,1,0,16,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,9,9,0,9,0,0,9,0,2,53,0,0,0,1,0,15,0,18,0,18,2,0,0,0,55,1,0
C:\Users\MYPC\LibraryWebApplication-master\LibraryWebApplication-master\src\main\java\com\epam\finalweb\service\impl\PoolServiceImpl.java,com.epam.finalweb.service.impl.PoolServiceImpl,class,3,4,1,3,3,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,1,0,1,0,0,0,0,1,0,0,0,9,1,0
