file,class,method,variable,usage
C:\Users\MYPC\LibraryWebApplication-master\LibraryWebApplication-master\src\main\java\com\epam\finalweb\service\factory\FactoryService.java,com.epam.finalweb.service.factory.FactoryService,getUserService/0,userService,1
C:\Users\MYPC\LibraryWebApplication-master\LibraryWebApplication-master\src\main\java\com\epam\finalweb\service\factory\FactoryService.java,com.epam.finalweb.service.factory.FactoryService,getPoolService/0,poolService,1
C:\Users\MYPC\LibraryWebApplication-master\LibraryWebApplication-master\src\main\java\com\epam\finalweb\service\factory\FactoryService.java,com.epam.finalweb.service.factory.FactoryService,getBookService/0,bookService,1
C:\Users\MYPC\LibraryWebApplication-master\LibraryWebApplication-master\src\main\java\com\epam\finalweb\command\impl\RemoveBookCommand.java,com.epam.finalweb.command.impl.RemoveBookCommand,"execute/2[com.epam.finalweb.command.impl.HttpServletRequest,com.epam.finalweb.command.impl.HttpServletResponse]",USERBOOKPAGE,1
C:\Users\MYPC\LibraryWebApplication-master\LibraryWebApplication-master\src\main\java\com\epam\finalweb\command\impl\RemoveBookCommand.java,com.epam.finalweb.command.impl.RemoveBookCommand,"execute/2[com.epam.finalweb.command.impl.HttpServletRequest,com.epam.finalweb.command.impl.HttpServletResponse]",LOG,1
C:\Users\MYPC\LibraryWebApplication-master\LibraryWebApplication-master\src\main\java\com\epam\finalweb\command\impl\RemoveBookCommand.java,com.epam.finalweb.command.impl.RemoveBookCommand,"execute/2[com.epam.finalweb.command.impl.HttpServletRequest,com.epam.finalweb.command.impl.HttpServletResponse]",USERID,1
C:\Users\MYPC\LibraryWebApplication-master\LibraryWebApplication-master\src\main\java\com\epam\finalweb\command\impl\RemoveBookCommand.java,com.epam.finalweb.command.impl.RemoveBookCommand,"execute/2[com.epam.finalweb.command.impl.HttpServletRequest,com.epam.finalweb.command.impl.HttpServletResponse]",BOOKID,1
C:\Users\MYPC\LibraryWebApplication-master\LibraryWebApplication-master\src\main\java\com\epam\finalweb\command\impl\UpdateUserCommand.java,com.epam.finalweb.command.impl.UpdateUserCommand,"execute/2[com.epam.finalweb.command.impl.HttpServletRequest,com.epam.finalweb.command.impl.HttpServletResponse]",NEWPASSWORD,1
C:\Users\MYPC\LibraryWebApplication-master\LibraryWebApplication-master\src\main\java\com\epam\finalweb\command\impl\UpdateUserCommand.java,com.epam.finalweb.command.impl.UpdateUserCommand,"execute/2[com.epam.finalweb.command.impl.HttpServletRequest,com.epam.finalweb.command.impl.HttpServletResponse]",ACCOUNT_DETAILSADMINPAGE,3
C:\Users\MYPC\LibraryWebApplication-master\LibraryWebApplication-master\src\main\java\com\epam\finalweb\command\impl\UpdateUserCommand.java,com.epam.finalweb.command.impl.UpdateUserCommand,"execute/2[com.epam.finalweb.command.impl.HttpServletRequest,com.epam.finalweb.command.impl.HttpServletResponse]",ERRORMESSAGE,2
C:\Users\MYPC\LibraryWebApplication-master\LibraryWebApplication-master\src\main\java\com\epam\finalweb\command\impl\UpdateUserCommand.java,com.epam.finalweb.command.impl.UpdateUserCommand,"execute/2[com.epam.finalweb.command.impl.HttpServletRequest,com.epam.finalweb.command.impl.HttpServletResponse]",PHONENUMBER,1
C:\Users\MYPC\LibraryWebApplication-master\LibraryWebApplication-master\src\main\java\com\epam\finalweb\command\impl\UpdateUserCommand.java,com.epam.finalweb.command.impl.UpdateUserCommand,"execute/2[com.epam.finalweb.command.impl.HttpServletRequest,com.epam.finalweb.command.impl.HttpServletResponse]",ACCOUNT_DETAILSPAGE,3
C:\Users\MYPC\LibraryWebApplication-master\LibraryWebApplication-master\src\main\java\com\epam\finalweb\command\impl\UpdateUserCommand.java,com.epam.finalweb.command.impl.UpdateUserCommand,"execute/2[com.epam.finalweb.command.impl.HttpServletRequest,com.epam.finalweb.command.impl.HttpServletResponse]",USERTYPE,1
