file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\protocol\request\HomeRequest.java,protocol.request.HomeRequest,class,3,3,0,3,5,1,0,0,4,0.7,0.3,0.3,5,0,5,0,0,0,5,0,0,0,2,1,0,2,0,0,1,0,0,18,2,0,0,0,0,0,1,3,0,2,0,0,0,0,22,1,0
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\entities\BorrowedBook.java,client.entities.BorrowedBook,class,2,10,8,2,16,2,0,1,84,0.84821427,0.15,0.325,16,0,16,0,0,0,16,0,0,0,3,1,0,3,0,0,1,0,0,57,6,0,0,0,0,0,1,13,0,7,0,0,0,0,29,1,0
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\OCSF\src\ocsf\client\AdaptableClient.java,ocsf.client.AdaptableClient,class,2,3,1,2,5,2,0,4,0,0.0,1.0,1.0,5,0,1,0,4,0,5,0,4,0,1,0,0,1,0,0,0,0,0,19,0,0,0,0,0,0,0,1,0,1,0,0,0,0,59,0,0
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\protocol\request\LockRequest.java,protocol.request.LockRequest,class,2,4,2,2,5,1,0,0,4,0.7,0.3,0.3,5,0,5,0,0,0,5,0,0,0,2,1,0,2,0,0,1,0,0,19,2,0,0,0,0,0,1,3,0,2,0,0,0,0,14,1,0
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\Server\AutoReturnBookReminder.java,Server.AutoReturnBookReminder,class,2,3,1,2,6,2,0,17,0,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,1,1,1,0,0,0,0,2,37,0,1,0,1,0,14,2,16,3,14,4,0,0,0,94,1,0
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\controller\ViewAllBooksController.java,client.controller.ViewAllBooksController,class,39,76,37,39,42,2,0,68,63,0.86666673,0.13636364,0.1969697,15,0,10,3,0,2,12,0,0,0,8,1,1,4,0,3,0,0,53,866,3,5,21,0,4,107,241,210,18,202,4,36,0,0,136,1,0
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\messages\handlers\LockRequestHandler.java,messages.handlers.LockRequestHandler,class,6,7,1,6,3,2,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,1,0,4,1,0,3,0,3,1,0,0,0,15,1,0
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\controller\ReaderHomeController.java,client.controller.ReaderHomeController$Anonymous6,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\controller\ReaderHomeController.java,client.controller.ReaderHomeController$Anonymous7,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\controller\ReaderHomeController.java,client.controller.ReaderHomeController$Anonymous8,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\controller\ReaderHomeController.java,client.controller.ReaderHomeController$Anonymous9,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\Server\AutoLockForGraduatedAfterReturning.java,Server.AutoLockForGraduatedAfterReturning,class,1,2,1,1,6,2,0,9,0,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,1,1,1,0,0,0,0,0,38,0,1,0,1,0,12,2,11,2,11,4,0,0,0,81,1,0
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\controller\AbstractController.java,client.controller.AbstractController,class,1,24,23,1,2,1,21,0,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,1,0
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\protocol\response\ReportsResponse.java,protocol.response.ReportsResponse,class,4,7,3,4,11,1,0,0,31,0.7727273,0.21818182,0.3272727,11,1,11,0,0,0,11,0,0,0,4,1,0,4,0,0,1,0,0,40,5,0,0,0,0,1,1,8,0,4,0,0,0,0,36,1,0
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\entities\Book.java,client.entities.Book,class,2,42,40,2,58,1,1,26,1265,0.9195402,0.11736237,0.5251059,58,0,58,0,0,0,58,0,0,0,24,1,2,22,0,0,1,0,0,274,23,0,0,0,0,0,7,69,0,24,0,0,0,0,94,1,0
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\protocol\response\MyLibraryCardResponse.java,protocol.response.MyLibraryCardResponse,class,4,7,3,4,8,1,0,0,10,0.7083333,0.32142857,0.53571427,8,1,8,0,0,0,8,0,0,0,3,1,0,3,0,0,1,0,0,30,4,0,0,0,0,1,1,6,0,3,0,0,0,0,34,1,0
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\gui\LibrarianExtendsDeadlineGUI.java,client.gui.LibrarianExtendsDeadlineGUI,class,5,7,2,5,6,2,0,9,6,0.75,0.0,0.0,4,1,3,1,0,0,3,0,0,0,1,1,0,1,0,0,0,0,0,39,1,0,1,1,0,2,0,5,0,4,1,1,0,0,42,1,0
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\messages\handlers\ViewTOCRequestHandler.java,messages.handlers.ViewTOCRequestHandler,class,5,6,1,5,3,2,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,1,0,3,1,0,0,0,0,1,0,0,0,21,1,0
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\gui\BorrowFreezeGUI.java,client.gui.BorrowFreezeGUI,class,5,8,3,5,6,2,0,9,6,0.75,0.0,0.0,4,1,3,1,0,0,3,0,0,0,1,1,0,1,0,0,0,0,0,39,1,0,1,1,0,2,0,5,0,4,1,1,0,0,41,1,0
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\protocol\response\DeleteBookResponse.java,protocol.response.DeleteBookResponse,class,4,7,3,4,8,1,0,0,20,0.7916667,0.14285715,0.14285715,8,2,8,0,0,0,8,0,0,0,3,1,0,3,0,0,1,0,0,29,5,0,0,0,0,2,1,4,0,3,0,0,0,0,25,1,0
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\protocol\response\ViewTOCResponse.java,protocol.response.ViewTOCResponse,class,3,7,4,3,6,1,0,0,3,0.74999994,0.4,0.4,6,0,6,0,0,0,6,0,0,0,4,1,0,4,0,0,1,0,0,25,2,0,0,0,0,0,1,6,0,4,0,0,0,0,23,1,0
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\protocol\request\AddBookRequest.java,protocol.request.AddBookRequest,class,3,5,2,3,4,1,0,0,0,0.625,0.5,0.5,4,0,4,0,0,0,4,0,0,0,2,1,0,2,0,0,1,0,0,16,2,0,0,0,0,0,1,3,0,2,0,0,0,0,15,1,0
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\controller\ManagerHomeController.java,client.controller.ManagerHomeController,class,28,30,2,28,30,2,0,35,98,0.9084966,0.13970588,0.15441176,17,0,4,0,0,13,17,0,0,0,9,1,1,5,0,3,0,0,7,159,0,0,3,9,3,13,3,27,0,33,2,0,0,0,106,1,0
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\controller\MainMenuController.java,client.controller.MainMenuController$Anonymous9,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\controller\MainMenuController.java,client.controller.MainMenuController$Anonymous8,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\protocol\request\ReportsRequest.java,protocol.request.ReportsRequest,class,2,4,2,2,9,1,0,0,12,0.72222227,0.33333334,0.7777778,9,0,9,0,0,0,9,0,0,0,4,1,0,4,0,0,1,0,0,35,4,0,0,0,0,0,1,8,0,4,0,0,0,0,21,1,0
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\controller\MainMenuController.java,client.controller.MainMenuController$Anonymous7,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\controller\MainMenuController.java,client.controller.MainMenuController$Anonymous6,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\controller\MainMenuController.java,client.controller.MainMenuController$Anonymous5,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\protocol\response\SearchBookByNameResponse.java,protocol.response.SearchBookByNameResponse,class,3,8,5,3,4,1,0,0,0,0.625,0.5,0.5,4,0,4,0,0,0,4,0,0,0,2,1,0,2,0,0,1,0,0,16,2,0,0,0,0,0,1,3,0,2,0,0,0,0,32,1,0
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\controller\MainMenuController.java,client.controller.MainMenuController$Anonymous4,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\controller\MainMenuController.java,client.controller.MainMenuController$Anonymous3,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\gui\ActivityReport.java,client.gui.ActivityReport,class,5,7,2,5,7,2,0,9,10,0.8,0.0,0.0,5,1,4,1,0,0,4,0,0,0,1,1,0,1,0,0,0,0,0,41,1,0,1,1,0,2,0,5,0,4,1,1,0,0,41,1,0
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\controller\MainMenuController.java,client.controller.MainMenuController$Anonymous2,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\gui\AddBookGUI.java,client.gui.AddBookGUI$Anonymous1,anonymous,1,1,0,1,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,-1,0
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\controller\MainMenuController.java,client.controller.MainMenuController$Anonymous1,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\protocol\request\RegistrationRequest.java,protocol.request.RegistrationRequest,class,3,5,2,3,4,1,0,0,0,0.625,0.5,0.5,4,0,4,0,0,0,4,0,0,0,2,1,0,2,0,0,1,0,0,16,2,0,0,0,0,0,1,3,0,2,0,0,0,0,15,1,0
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\messages\handlers\RegistrationRequestHandler.java,messages.handlers.RegistrationRequestHandler,class,5,6,1,5,4,2,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,20,3,0,0,1,2,0,0,0,0,0,2,0,0,0,41,1,0
