file,class,method,variable,usage
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\protocol\request\HomeRequest.java,protocol.request.HomeRequest,getUser/0,user,1
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\protocol\request\HomeRequest.java,protocol.request.HomeRequest,HomeRequest/1[client.entities.User],user,3
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\protocol\request\HomeRequest.java,protocol.request.HomeRequest,setUser/1[client.entities.User],user,3
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\entities\BorrowedBook.java,client.entities.BorrowedBook,getBorrowDate/0,borrowDate,1
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\entities\BorrowedBook.java,client.entities.BorrowedBook,"BorrowedBook/2[java.lang.String,java.lang.String]",lenderTo,1
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\entities\BorrowedBook.java,client.entities.BorrowedBook,getCopybarcode/0,Copybarcode,1
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\entities\BorrowedBook.java,client.entities.BorrowedBook,setLender/1[java.lang.String],lender,3
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\entities\BorrowedBook.java,client.entities.BorrowedBook,setBook/1[java.lang.String],book,3
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\entities\BorrowedBook.java,client.entities.BorrowedBook,setBorrowDate/1[java.lang.String],borrowDate,3
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\entities\BorrowedBook.java,client.entities.BorrowedBook,getBooks/0,Books,1
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\entities\BorrowedBook.java,client.entities.BorrowedBook,BorrowedBook/1[java.lang.String],Copybarcode,1
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\entities\BorrowedBook.java,client.entities.BorrowedBook,setCopybarcode/1[java.lang.String],Copybarcode,1
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\entities\BorrowedBook.java,client.entities.BorrowedBook,setBooks/1[java.util.ArrayList<client.entities.BorrowedBook>],Books,1
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\entities\BorrowedBook.java,client.entities.BorrowedBook,"BorrowedBook/3[java.lang.String,java.lang.String,java.lang.String]",lender,1
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\entities\BorrowedBook.java,client.entities.BorrowedBook,"BorrowedBook/3[java.lang.String,java.lang.String,java.lang.String]",Copybarcode,1
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\entities\BorrowedBook.java,client.entities.BorrowedBook,"BorrowedBook/3[java.lang.String,java.lang.String,java.lang.String]",lenderTo,1
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\entities\BorrowedBook.java,client.entities.BorrowedBook,getLenderTo/0,lenderTo,1
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\entities\BorrowedBook.java,client.entities.BorrowedBook,getLender/0,lender,1
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\entities\BorrowedBook.java,client.entities.BorrowedBook,setLenderTo/1[java.lang.String],lenderTo,3
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\entities\BorrowedBook.java,client.entities.BorrowedBook,getBook/0,book,1
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\OCSF\src\ocsf\client\AdaptableClient.java,ocsf.client.AdaptableClient,connectionEstablished/0,client,1
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\OCSF\src\ocsf\client\AdaptableClient.java,ocsf.client.AdaptableClient,connectionException/1[java.lang.Exception],client,1
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\OCSF\src\ocsf\client\AdaptableClient.java,ocsf.client.AdaptableClient,connectionClosed/0,client,1
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\OCSF\src\ocsf\client\AdaptableClient.java,ocsf.client.AdaptableClient,"AdaptableClient/3[java.lang.String,int,ocsf.client.ObservableClient]",client,3
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\OCSF\src\ocsf\client\AdaptableClient.java,ocsf.client.AdaptableClient,handleMessageFromServer/1[java.lang.Object],client,1
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\protocol\request\LockRequest.java,protocol.request.LockRequest,LockRequest/1[java.lang.String],ID,3
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\protocol\request\LockRequest.java,protocol.request.LockRequest,setID/1[java.lang.String],ID,1
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\protocol\request\LockRequest.java,protocol.request.LockRequest,getID/0,ID,1
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\Server\AutoReturnBookReminder.java,Server.AutoReturnBookReminder,AutoReturnBookReminder/1[Server.Database],dbCon,4
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\controller\ViewAllBooksController.java,client.controller.ViewAllBooksController,"makeOrder/2[client.entities.User,client.entities.Book]",book,3
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\controller\ViewAllBooksController.java,client.controller.ViewAllBooksController,comboBoxSearch/0,comboBoxSearch,2
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\controller\ViewAllBooksController.java,client.controller.ViewAllBooksController,comboBoxSearch/0,al,6
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\controller\ViewAllBooksController.java,client.controller.ViewAllBooksController,comboBoxSearch/0,list,2
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\controller\ViewAllBooksController.java,client.controller.ViewAllBooksController,orderBook_book/1[java.lang.String],book,2
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\controller\ViewAllBooksController.java,client.controller.ViewAllBooksController,"initialize/2[java.net.URL,java.util.ResourceBundle]",comboBoxSearch,1
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\controller\ViewAllBooksController.java,client.controller.ViewAllBooksController,view_table/1[java.lang.String],book,2
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\controller\ViewAllBooksController.java,client.controller.ViewAllBooksController,SearchHandler/1[client.controller.ActionEvent],comboBoxSearch,5
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\controller\ViewAllBooksController.java,client.controller.ViewAllBooksController,SearchHandler/1[client.controller.ActionEvent],UserBorderPane,8
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\controller\ViewAllBooksController.java,client.controller.ViewAllBooksController,SearchHandler/1[client.controller.ActionEvent],enterTerm,5
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\controller\ViewAllBooksController.java,client.controller.ViewAllBooksController,loadBooks/1[client.controller.ActionEvent],UserBorderPane,1
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\controller\ViewAllBooksController.java,client.controller.ViewAllBooksController,editBook_book/1[java.lang.String],book,1
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\controller\ViewAllBooksController.java,client.controller.ViewAllBooksController,ShowMessageOrderBookRequest/1[java.lang.String],alert,3
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\controller\ViewAllBooksController.java,client.controller.ViewAllBooksController,delete_book/1[java.lang.String],book,1
