file,class,method,variable,usage
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\protocol\request\HomeRequest.java,protocol.request.HomeRequest,HomeRequest/1[client.entities.User],user,2
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\protocol\request\HomeRequest.java,protocol.request.HomeRequest,setUser/1[client.entities.User],user,2
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\entities\BorrowedBook.java,client.entities.BorrowedBook,"BorrowedBook/2[java.lang.String,java.lang.String]",catalogNumber,1
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\entities\BorrowedBook.java,client.entities.BorrowedBook,"BorrowedBook/2[java.lang.String,java.lang.String]",lenderToText,1
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\entities\BorrowedBook.java,client.entities.BorrowedBook,setLender/1[java.lang.String],lender,2
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\entities\BorrowedBook.java,client.entities.BorrowedBook,setBook/1[java.lang.String],book,2
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\entities\BorrowedBook.java,client.entities.BorrowedBook,setBorrowDate/1[java.lang.String],borrowDate,2
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\entities\BorrowedBook.java,client.entities.BorrowedBook,BorrowedBook/1[java.lang.String],barcode,1
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\entities\BorrowedBook.java,client.entities.BorrowedBook,setCopybarcode/1[java.lang.String],copybarcode,1
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\entities\BorrowedBook.java,client.entities.BorrowedBook,setBooks/1[java.util.ArrayList<client.entities.BorrowedBook>],books,1
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\entities\BorrowedBook.java,client.entities.BorrowedBook,"BorrowedBook/3[java.lang.String,java.lang.String,java.lang.String]",barcodeText,1
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\entities\BorrowedBook.java,client.entities.BorrowedBook,"BorrowedBook/3[java.lang.String,java.lang.String,java.lang.String]",lenderText,1
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\entities\BorrowedBook.java,client.entities.BorrowedBook,"BorrowedBook/3[java.lang.String,java.lang.String,java.lang.String]",lenderToText,1
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\simplechat1\src\client\entities\BorrowedBook.java,client.entities.BorrowedBook,setLenderTo/1[java.lang.String],lenderTo,2
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\OCSF\src\ocsf\client\AdaptableClient.java,ocsf.client.AdaptableClient,connectionException/1[java.lang.Exception],exception,1
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\OCSF\src\ocsf\client\AdaptableClient.java,ocsf.client.AdaptableClient,"AdaptableClient/3[java.lang.String,int,ocsf.client.ObservableClient]",port,1
C:\Users\HP-Eli\OBL_Project-master\OBL_Project-master\G25_Assignment3-Project\G25_Assignment3-Project\OCSF\src\ocsf\client\AdaptableClient.java,ocsf.client.AdaptableClient,"AdaptableClient/3[java.lang.String,int,ocsf.client.ObservableClient]",host,1
