file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\UserInputHandler.java,in.ineuron.main.UserInputHandler,class,3,5,2,3,25,1,0,17,0,0.5625,0.71428573,0.71428573,8,1,7,1,0,0,7,0,0,0,2,2,0,2,0,0,0,0,14,141,7,1,5,6,0,39,6,32,6,18,2,0,0,0,65,1,0
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\app_util\HibernateUtil.java,in.ineuron.app_util.HibernateUtil,class,3,5,2,3,8,1,0,7,0,0.5555556,0.33333334,0.5,3,3,3,0,0,0,4,0,0,0,3,3,0,0,0,3,0,0,0,33,1,0,2,1,0,2,0,6,0,3,1,0,0,0,17,1,0
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\controller\IProductController.java,in.ineuron.controller.IProductController,interface,1,4,3,1,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\dao\IProductDao.java,in.ineuron.dao.IProductDao,interface,1,4,3,1,6,1,0,0,15,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\TestApp.java,in.ineuron.main.TestApp,class,6,6,0,6,15,1,0,25,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,8,110,0,1,4,0,0,35,11,30,2,18,4,0,0,1,69,1,0
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\factory\ProductServiceFactory.java,in.ineuron.factory.ProductServiceFactory,class,2,4,2,2,3,1,0,1,1,0.5,NaN,NaN,2,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,10,1,0,1,0,0,1,0,2,0,1,1,0,0,0,8,1,0
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\factory\ProductControllerFactory.java,in.ineuron.factory.ProductControllerFactory,class,2,3,1,2,3,1,0,1,1,0.5,NaN,NaN,2,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,10,1,0,1,0,0,1,0,2,0,1,1,0,0,0,8,1,0
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\pojo\Product.java,in.ineuron.pojo.Product,class,9,17,8,9,17,1,0,0,88,0.8588235,0.1764706,1.0,17,0,17,0,0,0,17,0,0,0,10,1,0,10,0,0,1,0,0,63,9,0,0,0,0,19,6,9,1,10,0,0,0,0,32,1,0
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\dao\UserValidator.java,in.ineuron.dao.UserValidator,class,6,8,2,6,16,1,0,22,0,0.41666666,0.8333333,1.0,4,1,1,0,0,3,4,0,0,0,3,0,0,3,0,0,0,0,5,73,7,2,4,3,1,13,7,16,1,10,3,0,0,0,58,0,0
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\pojo\Customer.java,in.ineuron.pojo.Customer,class,3,4,1,3,4,1,0,0,2,0.5,0.33333334,0.33333334,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,16,2,0,0,0,0,1,0,2,0,2,0,0,0,0,8,1,0
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\controller\ProductControllerImpl.java,in.ineuron.controller.ProductControllerImpl,class,4,5,1,4,5,1,0,7,0,0.0,1.0,1.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,5,28,5,0,0,0,0,5,0,6,0,1,0,0,0,0,16,1,0
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\factory\ProductDaoFactory.java,in.ineuron.factory.ProductDaoFactory,class,2,3,1,2,3,1,0,0,1,0.5,NaN,NaN,2,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,9,1,0,1,0,0,0,0,2,0,1,1,0,0,0,8,1,0
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\dao\ProductDaoImpl.java,in.ineuron.dao.ProductDaoImpl,class,7,8,1,7,14,1,0,17,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,13,109,6,0,0,5,0,10,1,34,0,18,2,0,0,0,37,1,0
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\app_util\AppUtil.java,in.ineuron.app_util.AppUtil,class,0,2,2,0,6,1,0,2,3,0.6666667,0.0,0.0,3,2,2,1,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,19,1,0,2,1,0,0,0,2,0,1,2,0,0,0,17,1,0
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\service\IProductService.java,in.ineuron.service.IProductService,interface,1,5,4,1,6,1,0,0,15,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\service\ProductServiceImpl.java,in.ineuron.service.ProductServiceImpl,class,4,5,1,4,6,1,0,8,0,0.0,1.0,1.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,6,32,6,0,0,0,0,5,0,7,0,1,0,0,0,0,18,1,0
