file,class,method,variable,usage
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\UserInputHandler.java,in.ineuron.main.UserInputHandler,getAddProdutInput/0,bufferedReader,6
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\UserInputHandler.java,in.ineuron.main.UserInputHandler,getUserChoice/0,bufferedReader,2
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\UserInputHandler.java,in.ineuron.main.UserInputHandler,getUserInputHandler/0,userInputHandler,3
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\UserInputHandler.java,in.ineuron.main.UserInputHandler,getLatestProductDetailsForUpdate/1[in.ineuron.pojo.Product],bufferedReader,6
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\UserInputHandler.java,in.ineuron.main.UserInputHandler,getProductIdforDelete/0,bufferedReader,2
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\UserInputHandler.java,in.ineuron.main.UserInputHandler,getProdIdInputToViewProduct/0,bufferedReader,2
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\UserInputHandler.java,in.ineuron.main.UserInputHandler,getProductIdforUpdate/0,bufferedReader,2
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\app_util\HibernateUtil.java,in.ineuron.app_util.HibernateUtil,getSession/0,session,2
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\app_util\HibernateUtil.java,in.ineuron.app_util.HibernateUtil,getSession/0,sessionFactory,1
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\app_util\HibernateUtil.java,in.ineuron.app_util.HibernateUtil,closeSessionFactory/0,sessionFactory,2
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\app_util\HibernateUtil.java,in.ineuron.app_util.HibernateUtil,closeSession/1[in.ineuron.app_util.Session],session,3
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\TestApp.java,in.ineuron.main.TestApp,main/1[java.lang.String[]],productController,12
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\factory\ProductServiceFactory.java,in.ineuron.factory.ProductServiceFactory,getProductService/0,productService,3
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\factory\ProductControllerFactory.java,in.ineuron.factory.ProductControllerFactory,getProductController/0,productController,3
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\pojo\Product.java,in.ineuron.pojo.Product,getProductLastModDate/0,productLastModDate,1
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\pojo\Product.java,in.ineuron.pojo.Product,getProductName/0,productName,1
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\pojo\Product.java,in.ineuron.pojo.Product,getProductDescription/0,productDescription,1
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\pojo\Product.java,in.ineuron.pojo.Product,toString/0,productSupplier,1
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\pojo\Product.java,in.ineuron.pojo.Product,toString/0,productQuantity,1
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\pojo\Product.java,in.ineuron.pojo.Product,toString/0,productOpenDate,1
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\pojo\Product.java,in.ineuron.pojo.Product,toString/0,productId,1
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\pojo\Product.java,in.ineuron.pojo.Product,toString/0,productLastModDate,1
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\pojo\Product.java,in.ineuron.pojo.Product,toString/0,productName,1
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\pojo\Product.java,in.ineuron.pojo.Product,toString/0,productDescription,1
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\pojo\Product.java,in.ineuron.pojo.Product,toString/0,productPrice,1
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\pojo\Product.java,in.ineuron.pojo.Product,setProductQuantity/1[java.lang.Integer],productQuantity,3
