file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\UserInputHandler.java,in.ineuron.main.UserInputHandler,getAddProdutInput/0,false,74,2,8,1,7,2,10,27,1,6,0,10,0,0,0,0,1,0,6,0,8,0,1,0,0,0,21,1,0,false
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\UserInputHandler.java,in.ineuron.main.UserInputHandler,UserInputHandler/0,true,16,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,false
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\UserInputHandler.java,in.ineuron.main.UserInputHandler,getUserChoice/0,false,28,1,2,1,1,6,4,29,1,2,0,4,0,0,1,1,1,0,11,3,7,1,2,0,0,0,35,1,0,false
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\UserInputHandler.java,in.ineuron.main.UserInputHandler,getUserInputHandler/0,false,20,1,2,1,1,2,0,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,6,9,0,false
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\UserInputHandler.java,in.ineuron.main.UserInputHandler,getLatestProductDetailsForUpdate/1[in.ineuron.pojo.Product],false,168,2,12,1,11,5,16,24,1,5,1,16,0,0,0,3,1,0,13,0,6,5,2,0,0,0,23,1,0,false
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\UserInputHandler.java,in.ineuron.main.UserInputHandler,getProductIdforDelete/0,false,212,1,2,1,1,3,6,17,1,1,0,6,0,0,0,0,1,0,3,1,3,0,1,0,0,0,22,1,0,false
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\UserInputHandler.java,in.ineuron.main.UserInputHandler,getProdIdInputToViewProduct/0,false,115,1,2,1,1,3,6,17,1,1,0,6,0,0,0,0,1,0,3,1,3,0,1,0,0,0,25,1,0,false
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\UserInputHandler.java,in.ineuron.main.UserInputHandler,getProductIdforUpdate/0,false,141,1,2,1,1,3,6,17,1,1,0,6,0,0,0,0,1,0,3,1,3,0,1,0,0,0,26,1,0,false
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\app_util\HibernateUtil.java,in.ineuron.app_util.HibernateUtil,getSession/0,false,31,1,6,6,0,1,2,5,1,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,9,0,false
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\app_util\HibernateUtil.java,in.ineuron.app_util.HibernateUtil,closeSessionFactory/0,false,46,0,4,4,0,2,1,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,9,0,false
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\app_util\HibernateUtil.java,in.ineuron.app_util.HibernateUtil,(initializer 1),false,15,1,0,0,0,3,4,13,0,0,0,4,0,0,0,0,1,0,1,0,2,0,1,0,0,0,10,8,0,false
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\app_util\HibernateUtil.java,in.ineuron.app_util.HibernateUtil,closeSession/1[in.ineuron.app_util.Session],false,38,1,4,4,0,2,1,5,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,9,0,false
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\controller\IProductController.java,in.ineuron.controller.IProductController,addProduct/1[in.ineuron.pojo.Product],false,9,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\controller\IProductController.java,in.ineuron.controller.IProductController,viewAllProdutsInfo/0,false,17,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\controller\IProductController.java,in.ineuron.controller.IProductController,updateProduct/1[in.ineuron.pojo.Product],false,13,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\controller\IProductController.java,in.ineuron.controller.IProductController,viewProduct/1[java.lang.Integer],false,11,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
