file,class,method,variable,usage
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\UserInputHandler.java,in.ineuron.main.UserInputHandler,getAddProdutInput/0,productSupplier,1
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\UserInputHandler.java,in.ineuron.main.UserInputHandler,getAddProdutInput/0,product,7
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\UserInputHandler.java,in.ineuron.main.UserInputHandler,getAddProdutInput/0,productQuantity,1
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\UserInputHandler.java,in.ineuron.main.UserInputHandler,getAddProdutInput/0,e,1
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\UserInputHandler.java,in.ineuron.main.UserInputHandler,getAddProdutInput/0,productName,1
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\UserInputHandler.java,in.ineuron.main.UserInputHandler,getAddProdutInput/0,productDescription,1
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\UserInputHandler.java,in.ineuron.main.UserInputHandler,getAddProdutInput/0,productPrice,1
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\UserInputHandler.java,in.ineuron.main.UserInputHandler,getUserChoice/0,isValidInput,4
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\UserInputHandler.java,in.ineuron.main.UserInputHandler,getUserChoice/0,e,2
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\UserInputHandler.java,in.ineuron.main.UserInputHandler,getUserChoice/0,userInput,4
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\UserInputHandler.java,in.ineuron.main.UserInputHandler,getLatestProductDetailsForUpdate/1[in.ineuron.pojo.Product],newProductDescription,2
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\UserInputHandler.java,in.ineuron.main.UserInputHandler,getLatestProductDetailsForUpdate/1[in.ineuron.pojo.Product],product,11
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\UserInputHandler.java,in.ineuron.main.UserInputHandler,getLatestProductDetailsForUpdate/1[in.ineuron.pojo.Product],e,1
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\UserInputHandler.java,in.ineuron.main.UserInputHandler,getLatestProductDetailsForUpdate/1[in.ineuron.pojo.Product],newProductQuantity,1
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\UserInputHandler.java,in.ineuron.main.UserInputHandler,getLatestProductDetailsForUpdate/1[in.ineuron.pojo.Product],newProductName,2
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\UserInputHandler.java,in.ineuron.main.UserInputHandler,getLatestProductDetailsForUpdate/1[in.ineuron.pojo.Product],newProductPrice,1
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\UserInputHandler.java,in.ineuron.main.UserInputHandler,getLatestProductDetailsForUpdate/1[in.ineuron.pojo.Product],newProductSupplier,2
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\UserInputHandler.java,in.ineuron.main.UserInputHandler,getProductIdforDelete/0,productId,2
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\UserInputHandler.java,in.ineuron.main.UserInputHandler,getProductIdforDelete/0,e,3
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\UserInputHandler.java,in.ineuron.main.UserInputHandler,getProdIdInputToViewProduct/0,productId,2
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\UserInputHandler.java,in.ineuron.main.UserInputHandler,getProdIdInputToViewProduct/0,e,3
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\UserInputHandler.java,in.ineuron.main.UserInputHandler,getProductIdforUpdate/0,productId,2
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\UserInputHandler.java,in.ineuron.main.UserInputHandler,getProductIdforUpdate/0,e,3
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\app_util\HibernateUtil.java,in.ineuron.app_util.HibernateUtil,(initializer 1),e,3
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\app_util\HibernateUtil.java,in.ineuron.app_util.HibernateUtil,closeSession/1[in.ineuron.app_util.Session],session,2
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\controller\IProductController.java,in.ineuron.controller.IProductController,addProduct/1[in.ineuron.pojo.Product],product,0
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\controller\IProductController.java,in.ineuron.controller.IProductController,updateProduct/1[in.ineuron.pojo.Product],product,0
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\controller\IProductController.java,in.ineuron.controller.IProductController,viewProduct/1[java.lang.Integer],productId,0
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\controller\IProductController.java,in.ineuron.controller.IProductController,deleteProduct/1[in.ineuron.pojo.Product],product,0
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\dao\IProductDao.java,in.ineuron.dao.IProductDao,addProduct/1[in.ineuron.pojo.Product],product,0
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\dao\IProductDao.java,in.ineuron.dao.IProductDao,updateProduct/1[in.ineuron.pojo.Product],product,0
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\dao\IProductDao.java,in.ineuron.dao.IProductDao,viewProduct/1[java.lang.Integer],productId,0
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\dao\IProductDao.java,in.ineuron.dao.IProductDao,deleteProduct/1[in.ineuron.pojo.Product],product,0
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\TestApp.java,in.ineuron.main.TestApp,main/1[java.lang.String[]],userChoice,1
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\TestApp.java,in.ineuron.main.TestApp,main/1[java.lang.String[]],retrivedProduct,3
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\TestApp.java,in.ineuron.main.TestApp,main/1[java.lang.String[]],productIdForViewing,2
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\TestApp.java,in.ineuron.main.TestApp,main/1[java.lang.String[]],product,5
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\TestApp.java,in.ineuron.main.TestApp,main/1[java.lang.String[]],isValidUser,1
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\TestApp.java,in.ineuron.main.TestApp,main/1[java.lang.String[]],productService,1
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\TestApp.java,in.ineuron.main.TestApp,main/1[java.lang.String[]],newProduct,2
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\TestApp.java,in.ineuron.main.TestApp,main/1[java.lang.String[]],productIdForDelete,1
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\TestApp.java,in.ineuron.main.TestApp,main/1[java.lang.String[]],args,0
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\TestApp.java,in.ineuron.main.TestApp,main/1[java.lang.String[]],productToDelete,3
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\TestApp.java,in.ineuron.main.TestApp,main/1[java.lang.String[]],updateStatus,2
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\TestApp.java,in.ineuron.main.TestApp,main/1[java.lang.String[]],deleteStatus,2
C:\Users\MYPC\Product-Inventory-Management-System-main\Product-Inventory-Management-System-main\src\in\ineuron\main\TestApp.java,in.ineuron.main.TestApp,main/1[java.lang.String[]],productIdForUpdate,2
