file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CustomerService.java,controller.CustomerService,class,1,2,1,1,5,1,1,0,10,0.0,0.0,0.0,5,0,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1025,0
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\DashBoardFormController.java,controller.DashBoardFormController,class,4,4,0,4,2,1,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,4,0,6,0,6,0,0,0,0,24,1,0
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\ItemController.java,controller.ItemController,class,3,4,1,3,10,2,0,10,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,37,8,2,0,0,0,4,7,5,1,5,1,0,0,0,32,1,0
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Customer.java,model.Customer,class,1,5,4,1,16,1,0,7,78,0.8125,0.175,0.875,16,0,16,0,0,0,16,0,0,0,7,0,0,7,0,0,0,0,0,62,7,0,0,0,0,0,0,7,0,7,0,0,0,0,18,1,0
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\AdminLoginFormController.java,controller.AdminLoginFormController,class,8,8,0,8,3,1,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,17,0,0,0,0,0,5,0,3,0,6,1,0,0,0,38,1,0
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\SystemReportFormController.java,controller.SystemReportFormController,class,4,4,0,4,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,3,0,3,0,0,0,0,21,1,0
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Item.java,model.Item,class,1,6,5,1,13,1,0,5,26,0.6923077,0.33333334,0.84615386,13,0,13,0,0,0,13,0,0,0,5,0,0,5,0,0,0,0,0,49,6,0,0,0,0,6,0,5,2,5,0,0,0,0,19,1,0
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,class,20,21,1,20,11,1,0,40,5,0.7738095,0.33333334,0.33333334,6,0,3,3,0,0,3,0,0,0,14,0,13,0,0,1,0,0,3,90,0,0,1,2,0,11,2,16,1,33,2,0,0,2,92,1,0
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\ItemService.java,controller.ItemService,class,1,2,1,1,5,1,1,0,10,0.0,0.0,0.0,5,0,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1025,0
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\views\tm\ItemTM.java,views.tm.ItemTM,class,1,3,2,1,13,1,0,5,26,0.6923077,0.33333334,0.84615386,13,0,13,0,0,0,13,0,0,0,5,0,0,5,0,0,0,0,0,49,6,0,0,0,0,6,0,5,2,5,0,0,0,0,21,1,0
