file,class,method,variable,usage
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Customer.java,model.Customer,setProvince/1[java.lang.String],province,3
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Customer.java,model.Customer,getCity/0,city,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Customer.java,model.Customer,getName/0,name,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Customer.java,model.Customer,setId/1[java.lang.String],id,3
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Customer.java,model.Customer,setAddress/1[java.lang.String],address,3
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Customer.java,model.Customer,setCity/1[java.lang.String],city,3
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Customer.java,model.Customer,setPostalCode/1[java.lang.String],postalCode,3
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Customer.java,model.Customer,getProvince/0,province,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Customer.java,model.Customer,setTitle/1[java.lang.String],title,3
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Customer.java,model.Customer,setName/1[java.lang.String],name,3
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Customer.java,model.Customer,"Customer/7[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",address,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Customer.java,model.Customer,"Customer/7[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",province,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Customer.java,model.Customer,"Customer/7[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",city,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Customer.java,model.Customer,"Customer/7[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",postalCode,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Customer.java,model.Customer,"Customer/7[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",name,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Customer.java,model.Customer,"Customer/7[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",id,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Customer.java,model.Customer,"Customer/7[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",title,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Customer.java,model.Customer,getId/0,id,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Customer.java,model.Customer,getTitle/0,title,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Customer.java,model.Customer,getAddress/0,address,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Customer.java,model.Customer,getPostalCode/0,postalCode,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\AdminLoginFormController.java,controller.AdminLoginFormController,openSystemReportForm/1[controller.ActionEvent],txtAdmin,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\AdminLoginFormController.java,controller.AdminLoginFormController,openSystemReportForm/1[controller.ActionEvent],LoginFormContext,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\AdminLoginFormController.java,controller.AdminLoginFormController,openSystemReportForm/1[controller.ActionEvent],txtPassword,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Item.java,model.Item,getUnitPrice/0,unitPrice,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Item.java,model.Item,"Item/5[java.lang.String,java.lang.String,java.lang.String,double,int]",unitPrice,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Item.java,model.Item,"Item/5[java.lang.String,java.lang.String,java.lang.String,double,int]",packSize,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Item.java,model.Item,"Item/5[java.lang.String,java.lang.String,java.lang.String,double,int]",itemCode,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Item.java,model.Item,"Item/5[java.lang.String,java.lang.String,java.lang.String,double,int]",description,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Item.java,model.Item,"Item/5[java.lang.String,java.lang.String,java.lang.String,double,int]",qtyOnHand,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Item.java,model.Item,getItemCode/0,itemCode,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Item.java,model.Item,setPackSize/1[java.lang.String],packSize,3
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Item.java,model.Item,setQtyOnHand/1[int],qtyOnHand,3
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Item.java,model.Item,toString/0,unitPrice,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Item.java,model.Item,toString/0,packSize,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Item.java,model.Item,toString/0,itemCode,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Item.java,model.Item,toString/0,description,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Item.java,model.Item,toString/0,qtyOnHand,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Item.java,model.Item,getPackSize/0,packSize,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Item.java,model.Item,setItemCode/1[java.lang.String],itemCode,3
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Item.java,model.Item,setUnitPrice/1[double],unitPrice,3
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Item.java,model.Item,getDescription/0,description,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Item.java,model.Item,setDescription/1[java.lang.String],description,3
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Item.java,model.Item,getQtyOnHand/0,qtyOnHand,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,initialize/0,cmbItemCode,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,initialize/0,colQTY,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,initialize/0,colCode,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,initialize/0,colDescription,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,initialize/0,colUnitPrice,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,initialize/0,colDiscount,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,loadDateAndTime/0,lblTime,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,loadDateAndTime/0,lblDate,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,setItemData/1[java.lang.String],txtDescription,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,setItemData/1[java.lang.String],txtQtyOnHand,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,setItemData/1[java.lang.String],txtPackSize,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,loadItemCodes/0,cmbItemCode,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,addToCartOnAction/1[controller.ActionEvent],tblCart,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,addToCartOnAction/1[controller.ActionEvent],obList,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,addToCartOnAction/1[controller.ActionEvent],cmbItemCode,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,addToCartOnAction/1[controller.ActionEvent],txtDescription,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,addToCartOnAction/1[controller.ActionEvent],txtQty,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,addToCartOnAction/1[controller.ActionEvent],txtPackSize,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\views\tm\ItemTM.java,views.tm.ItemTM,getUnitPrice/0,unitPrice,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\views\tm\ItemTM.java,views.tm.ItemTM,getItemCode/0,itemCode,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\views\tm\ItemTM.java,views.tm.ItemTM,setPackSize/1[java.lang.String],packSize,3
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\views\tm\ItemTM.java,views.tm.ItemTM,setQtyOnHand/1[int],qtyOnHand,3
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\views\tm\ItemTM.java,views.tm.ItemTM,toString/0,unitPrice,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\views\tm\ItemTM.java,views.tm.ItemTM,toString/0,packSize,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\views\tm\ItemTM.java,views.tm.ItemTM,toString/0,itemCode,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\views\tm\ItemTM.java,views.tm.ItemTM,toString/0,description,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\views\tm\ItemTM.java,views.tm.ItemTM,toString/0,qtyOnHand,1
