file,class,method,variable,usage
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CustomerService.java,controller.CustomerService,saveCustomer/1[model.Customer],c,0
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CustomerService.java,controller.CustomerService,deleteCustomer/1[java.lang.String],id,0
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CustomerService.java,controller.CustomerService,updateCustomer/1[model.Customer],c,0
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CustomerService.java,controller.CustomerService,getCustomer/1[java.lang.String],id,0
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\DashBoardFormController.java,controller.DashBoardFormController,openAdminLoginForm/1[controller.ActionEvent],load,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\DashBoardFormController.java,controller.DashBoardFormController,openAdminLoginForm/1[controller.ActionEvent],stage,3
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\DashBoardFormController.java,controller.DashBoardFormController,openAdminLoginForm/1[controller.ActionEvent],actionEvent,0
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\DashBoardFormController.java,controller.DashBoardFormController,openAdminLoginForm/1[controller.ActionEvent],scene,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\DashBoardFormController.java,controller.DashBoardFormController,openCashierForm/1[controller.ActionEvent],load,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\DashBoardFormController.java,controller.DashBoardFormController,openCashierForm/1[controller.ActionEvent],stage,3
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\DashBoardFormController.java,controller.DashBoardFormController,openCashierForm/1[controller.ActionEvent],actionEvent,0
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\DashBoardFormController.java,controller.DashBoardFormController,openCashierForm/1[controller.ActionEvent],scene,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\ItemController.java,controller.ItemController,getAllUnitPrice/0,rst,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\ItemController.java,controller.ItemController,getAllUnitPrice/0,price,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\ItemController.java,controller.ItemController,getAllItemCodes/0,rst,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\ItemController.java,controller.ItemController,getAllItemCodes/0,code,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\ItemController.java,controller.ItemController,saveItem/1[model.Item],i,0
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\ItemController.java,controller.ItemController,updateItem/1[model.Item],i,0
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\ItemController.java,controller.ItemController,deleteItem/1[java.lang.String],code,0
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\ItemController.java,controller.ItemController,getItem/1[java.lang.String],rst,6
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\ItemController.java,controller.ItemController,getItem/1[java.lang.String],code,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Customer.java,model.Customer,setProvince/1[java.lang.String],province,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Customer.java,model.Customer,setId/1[java.lang.String],id,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Customer.java,model.Customer,setAddress/1[java.lang.String],address,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Customer.java,model.Customer,setCity/1[java.lang.String],city,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Customer.java,model.Customer,setPostalCode/1[java.lang.String],postalCode,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Customer.java,model.Customer,setTitle/1[java.lang.String],title,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Customer.java,model.Customer,setName/1[java.lang.String],name,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Customer.java,model.Customer,"Customer/7[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",address,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Customer.java,model.Customer,"Customer/7[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",province,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Customer.java,model.Customer,"Customer/7[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",city,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Customer.java,model.Customer,"Customer/7[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",postalCode,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Customer.java,model.Customer,"Customer/7[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",name,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Customer.java,model.Customer,"Customer/7[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",id,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Customer.java,model.Customer,"Customer/7[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",title,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\AdminLoginFormController.java,controller.AdminLoginFormController,openSystemReportForm/1[controller.ActionEvent],load,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\AdminLoginFormController.java,controller.AdminLoginFormController,openSystemReportForm/1[controller.ActionEvent],resource,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\AdminLoginFormController.java,controller.AdminLoginFormController,openSystemReportForm/1[controller.ActionEvent],window,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\AdminLoginFormController.java,controller.AdminLoginFormController,openSystemReportForm/1[controller.ActionEvent],actionEvent,0
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\SystemReportFormController.java,controller.SystemReportFormController,openItemForm/1[controller.ActionEvent],load,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\SystemReportFormController.java,controller.SystemReportFormController,openItemForm/1[controller.ActionEvent],stage,3
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\SystemReportFormController.java,controller.SystemReportFormController,openItemForm/1[controller.ActionEvent],actionEvent,0
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\SystemReportFormController.java,controller.SystemReportFormController,openItemForm/1[controller.ActionEvent],scene,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Item.java,model.Item,"Item/5[java.lang.String,java.lang.String,java.lang.String,double,int]",unitPrice,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Item.java,model.Item,"Item/5[java.lang.String,java.lang.String,java.lang.String,double,int]",packSize,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Item.java,model.Item,"Item/5[java.lang.String,java.lang.String,java.lang.String,double,int]",itemCode,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Item.java,model.Item,"Item/5[java.lang.String,java.lang.String,java.lang.String,double,int]",description,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Item.java,model.Item,"Item/5[java.lang.String,java.lang.String,java.lang.String,double,int]",qtyOnHand,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Item.java,model.Item,setPackSize/1[java.lang.String],packSize,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Item.java,model.Item,setQtyOnHand/1[int],qtyOnHand,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Item.java,model.Item,setItemCode/1[java.lang.String],itemCode,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Item.java,model.Item,setUnitPrice/1[double],unitPrice,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\model\Item.java,model.Item,setDescription/1[java.lang.String],description,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,initialize/0,throwables,3
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,initialize/0,newValue,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,initialize/0,e,3
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,initialize/0,observable,0
