file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Meal.java,talabate.Meal,class,2,8,6,2,6,1,0,3,0,0.6888889,0.6,0.6,5,0,5,0,0,0,5,0,0,0,6,0,6,0,0,0,0,0,0,38,0,0,0,1,0,5,0,11,5,11,1,0,0,0,32,1,0
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,class,4,9,5,4,24,1,0,19,0,0.61111104,0.6,0.6,6,0,5,1,0,0,5,0,0,0,9,0,7,0,0,2,0,0,0,149,5,4,7,3,4,38,12,43,20,24,5,0,0,0,99,1,0
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Customer.java,talabate.Customer,class,9,15,6,9,63,2,0,43,53,0.8214286,0.2888889,0.46666667,14,0,10,4,0,0,10,0,0,0,8,0,1,2,2,3,0,0,1,298,2,13,16,4,0,88,31,55,31,37,7,0,0,0,124,1,0
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Talabate.java,talabate.Talabate,class,4,8,4,4,7,1,0,10,1,0.7,0.0,0.0,2,2,2,0,0,0,2,0,0,0,4,4,0,0,0,4,0,0,3,50,0,1,2,0,0,7,4,9,1,7,3,0,0,0,32,1,0
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\dao\Restaurantdao.java,dao.Restaurantdao,interface,1,2,1,1,12,1,0,0,66,0.0,0.0,0.0,12,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,0
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\dao\Ordersdao.java,dao.Ordersdao,interface,1,2,1,1,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Restaurant.java,talabate.Restaurant,class,10,16,6,10,98,2,0,56,106,0.82417583,0.24242425,0.42424244,21,0,12,9,0,0,12,0,0,0,10,0,4,2,1,3,0,0,1,519,7,17,12,14,0,112,49,102,23,58,4,0,0,0,159,1,0
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\dao\Mealsdao.java,dao.Mealsdao,interface,1,2,1,1,6,1,0,0,15,0.0,0.0,0.0,6,0,2,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\daoImpl\RestaurantdaoImpl.java,daoImpl.RestaurantdaoImpl,class,4,8,4,4,20,1,0,18,0,0.82417583,0.84615386,0.84615386,13,0,13,0,0,0,13,0,0,0,14,14,0,12,0,2,12,0,12,134,8,4,0,0,0,29,21,49,0,21,2,0,0,0,76,1,0
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\daoImpl\Connect.java,daoImpl.Connect,class,0,4,4,0,4,1,0,3,1,0.5,NaN,NaN,2,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,17,1,0,1,1,0,4,0,2,0,1,2,0,0,0,11,1,0
