file,class,method,variable,usage
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Meal.java,talabate.Meal,setMealQuantityPrice/0,mealQuantityPrice,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Meal.java,talabate.Meal,setMealQuantityPrice/0,quantity,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Meal.java,talabate.Meal,setMealQuantityPrice/0,price,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Meal.java,talabate.Meal,"Meal/3[java.lang.String,java.lang.String,float]",discription,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Meal.java,talabate.Meal,"Meal/3[java.lang.String,java.lang.String,float]",price,3
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Meal.java,talabate.Meal,"Meal/3[java.lang.String,java.lang.String,float]",name,3
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Meal.java,talabate.Meal,displayMealInfo/0,mealID,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Meal.java,talabate.Meal,displayMealInfo/0,discription,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Meal.java,talabate.Meal,displayMealInfo/0,price,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Meal.java,talabate.Meal,displayMealInfo/0,name,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Meal.java,talabate.Meal,Meal/1[int],mealID,4
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Meal.java,talabate.Meal,Meal/1[int],discription,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Meal.java,talabate.Meal,Meal/1[int],price,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Meal.java,talabate.Meal,Meal/1[int],name,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,Order/1[int],isDelivered,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,Order/1[int],ownerNameeOfCurrentBasket,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,Order/1[int],orderTotalPrice,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,Order/1[int],customerOfOrder,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,Order/1[int],restNameOfCurrentBasket,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,Order/1[int],orderedMeals,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,Order/1[int],orderCode,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,Order/1[int],orderDate,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,Order/1[int],order_db,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,"creatAnOrder/2[int,java.lang.String]",meal_db,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,"creatAnOrder/2[int,java.lang.String]",ownerNameeOfCurrentBasket,2
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,"creatAnOrder/2[int,java.lang.String]",customerOfOrder,2
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,"creatAnOrder/2[int,java.lang.String]",orderTotalPrice,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,"creatAnOrder/2[int,java.lang.String]",orderedMeals,3
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,insertBasketToDb/0,restOffer,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,insertBasketToDb/0,orderTotalPrice,3
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,insertBasketToDb/0,orderCode,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,insertBasketToDb/0,orderDate,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,insertBasketToDb/0,restFees,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,insertBasketToDb/0,order_db,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,getNotesOfMeal/1[talabate.Meal],orderTotalPrice,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,getNotesOfMeal/1[talabate.Meal],orderedMeals,6
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,displayBasket/0,restOffer,2
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,displayBasket/0,ownerNameeOfCurrentBasket,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,displayBasket/0,orderTotalPrice,2
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,displayBasket/0,orderedMeals,5
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,displayBasket/0,restNameOfCurrentBasket,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,displayBasket/0,restFees,2
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Customer.java,talabate.Customer,home/1[int],currentOrder,2
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Customer.java,talabate.Customer,disblayOrders/0,ordersNum,2
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Customer.java,talabate.Customer,disblayOrders/0,orders,10
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Customer.java,talabate.Customer,displayRestaurants/0,rest_db,2
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Customer.java,talabate.Customer,displayRestaurants/0,region,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Customer.java,talabate.Customer,setAddress/1[java.lang.String],address,3
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Customer.java,talabate.Customer,getRegion/0,region,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Customer.java,talabate.Customer,setRegion/1[java.lang.String],region,3
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Customer.java,talabate.Customer,"Customer/2[java.lang.String,java.lang.String]",cust_db,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Customer.java,talabate.Customer,"Customer/2[java.lang.String,java.lang.String]",address,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Customer.java,talabate.Customer,"Customer/2[java.lang.String,java.lang.String]",mobile,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Customer.java,talabate.Customer,"Customer/2[java.lang.String,java.lang.String]",region,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Customer.java,talabate.Customer,updateOrdersArray/0,ordersNum,2
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Customer.java,talabate.Customer,updateOrdersArray/0,orders,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Customer.java,talabate.Customer,updateOrdersArray/0,currentOrder,2
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Customer.java,talabate.Customer,register/0,cust_db,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Customer.java,talabate.Customer,register/0,address,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Customer.java,talabate.Customer,register/0,mobile,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Customer.java,talabate.Customer,register/0,region,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Customer.java,talabate.Customer,setOrdersArray/0,ordersNum,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Customer.java,talabate.Customer,setOrdersArray/0,orders,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Customer.java,talabate.Customer,setOrdersArray/0,order_db,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Customer.java,talabate.Customer,displayTalabatOffers/0,rest_db,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Customer.java,talabate.Customer,searchRestaurant/0,openedRestaurant,6
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Customer.java,talabate.Customer,searchRestaurant/0,currentOrder,4
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Talabate.java,talabate.Talabate,firstPage/0,owner,3
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Talabate.java,talabate.Talabate,firstPage/0,input,3
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Talabate.java,talabate.Talabate,firstPage/0,customer,3
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Restaurant.java,talabate.Restaurant,Restaurant/1[java.lang.String],offer,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Restaurant.java,talabate.Restaurant,Restaurant/1[java.lang.String],name,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Restaurant.java,talabate.Restaurant,Restaurant/1[java.lang.String],rest_table,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Restaurant.java,talabate.Restaurant,Restaurant/1[java.lang.String],location,1
