file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Meal.java,talabate.Meal,setMealQuantityPrice/0,false,63,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,1,0,false
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Meal.java,talabate.Meal,"Meal/3[java.lang.String,java.lang.String,float]",true,30,0,1,1,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,1,0,false
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Meal.java,talabate.Meal,Meal/0,true,27,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Meal.java,talabate.Meal,displayMealInfo/0,false,55,0,4,4,0,1,1,6,0,0,0,1,0,0,0,0,0,0,5,0,0,4,0,0,0,0,6,1,0,false
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Meal.java,talabate.Meal,Meal/1[int],true,40,2,4,2,2,2,3,14,0,2,1,3,0,0,0,0,1,0,0,0,6,0,1,0,0,0,13,1,0,false
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,Order/1[int],true,40,2,3,2,1,2,3,16,0,1,1,3,0,0,0,0,1,0,0,0,9,0,1,0,0,0,8,1,0,false
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,"creatAnOrder/2[int,java.lang.String]",false,92,3,6,2,4,7,9,46,2,5,2,9,2,1,1,1,1,0,6,3,9,0,5,0,0,0,52,1,0,false
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,insertBasketToDb/0,false,188,1,2,1,1,2,4,13,0,2,0,4,0,0,0,0,1,1,1,0,6,1,1,0,0,0,18,1,0,false
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,getNotesOfMeal/1[talabate.Meal],false,60,1,2,1,1,4,8,21,0,2,1,8,0,0,1,2,0,0,7,1,9,2,2,0,0,0,25,2,0,false
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,displayBasket/0,false,142,1,2,1,1,8,7,40,3,2,0,7,0,0,2,4,0,3,24,6,3,17,3,0,0,0,33,1,0,false
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,Order/0,true,35,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Customer.java,talabate.Customer,homeMenu/0,false,117,1,5,4,1,4,4,23,0,1,0,4,1,3,1,0,0,0,12,2,1,1,2,0,0,0,21,1,0,false
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Customer.java,talabate.Customer,home/1[int],false,142,3,10,1,9,14,11,53,0,1,1,11,6,2,1,6,0,0,4,11,1,0,4,0,0,0,20,2,0,false
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Customer.java,talabate.Customer,disblayOrders/0,false,333,1,2,1,1,5,5,22,0,2,0,5,0,0,2,1,0,0,20,3,2,8,3,0,0,0,13,1,0,false
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Customer.java,talabate.Customer,displayRestaurants/0,false,272,2,3,1,2,4,7,21,0,4,0,7,0,0,1,1,1,0,8,2,5,6,2,0,0,0,19,1,0,false
