file,class,method,variable,usage
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Meal.java,talabate.Meal,"Meal/3[java.lang.String,java.lang.String,float]",price,2
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Meal.java,talabate.Meal,"Meal/3[java.lang.String,java.lang.String,float]",name,2
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Meal.java,talabate.Meal,"Meal/3[java.lang.String,java.lang.String,float]",description,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Meal.java,talabate.Meal,Meal/1[int],mealID,3
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Meal.java,talabate.Meal,Meal/1[int],e,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Meal.java,talabate.Meal,Meal/1[int],m,4
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Meal.java,talabate.Meal,Meal/1[int],db,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,Order/1[int],code,2
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,Order/1[int],e,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,Order/1[int],o,7
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,"creatAnOrder/2[int,java.lang.String]",meal,2
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,"creatAnOrder/2[int,java.lang.String]",ex,0
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,"creatAnOrder/2[int,java.lang.String]",answer,2
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,"creatAnOrder/2[int,java.lang.String]",ownername,3
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,"creatAnOrder/2[int,java.lang.String]",custUserName,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,"creatAnOrder/2[int,java.lang.String]",MID,2
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,"creatAnOrder/2[int,java.lang.String]",meal_id,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,"creatAnOrder/2[int,java.lang.String]",isOrderCreated,3
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,insertBasketToDb/0,date,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,insertBasketToDb/0,simpleDateFormat,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,insertBasketToDb/0,e,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,getNotesOfMeal/1[talabate.Meal],meall,9
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,getNotesOfMeal/1[talabate.Meal],i,6
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,getNotesOfMeal/1[talabate.Meal],existedMeal,2
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,displayBasket/0,answer,4
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Order.java,talabate.Order,displayBasket/0,i,6
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Customer.java,talabate.Customer,homeMenu/0,answer,4
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Customer.java,talabate.Customer,home/1[int],answer,1
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Customer.java,talabate.Customer,home/1[int],ans,4
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Customer.java,talabate.Customer,disblayOrders/0,j,7
C:\Users\HP-Eli\Talabate-Clone-main\Talabate-Clone-main\src\talabate\Customer.java,talabate.Customer,disblayOrders/0,k,12
