file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\DAO\DAOTypes.java,DAO.DAOTypes,enum,0,1,1,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,class,26,27,1,26,36,1,0,72,0,0.671875,0.61904764,0.71428573,8,0,7,1,0,0,7,0,0,0,16,0,13,3,0,0,0,0,39,340,0,10,8,1,0,25,25,78,14,88,7,5,0,2,144,1,0
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Business\custom\SuperBO.java,Business.custom.SuperBO,interface,0,3,3,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Business\impl\OrderBOImpl.java,Business.impl.OrderBOImpl$Anonymous1,anonymous,2,2,0,2,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\DAO\CRUDDAO.java,DAO.CRUDDAO,interface,3,9,6,3,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\UtilityClasses\Order.java,UtilityClasses.Order,class,0,3,3,0,12,1,0,0,36,0.75,0.22727273,0.8333333,12,0,12,0,0,0,12,0,0,0,5,0,0,5,0,0,0,0,0,46,5,0,0,0,0,0,0,10,0,5,0,0,0,0,13,1,0
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Entities\SuperEntity.java,Entities.SuperEntity,class,0,4,4,0,0,1,4,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\UtilityClasses\SearchTableHelper.java,UtilityClasses.SearchTableHelper,class,0,4,4,0,12,1,0,0,36,0.75,0.22727273,0.8333333,12,0,12,0,0,0,12,0,0,0,5,0,0,5,0,0,0,0,0,46,5,0,0,0,0,0,0,10,0,5,0,0,0,0,15,1,0
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\test\Test.java,Test,class,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\DAO\custom\Impl\CustomerDAOImpl.java,DAO.custom.Impl.CustomerDAOImpl,class,4,7,3,4,9,1,0,13,0,0.0,1.0,1.0,8,0,8,0,0,0,8,0,0,0,1,0,0,1,0,0,0,0,0,34,4,1,0,0,0,3,2,6,0,6,1,0,0,0,33,1,0
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Business\impl\CustomerBOImpl.java,Business.impl.CustomerBOImpl,class,12,14,2,12,7,1,0,20,0,0.0,1.0,1.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,3,39,3,1,0,0,1,0,0,6,0,6,2,1,0,0,27,1,0
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController$Anonymous4,anonymous,1,1,0,1,3,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,1,2,1,2,1,0,0,0,5,-1,0
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Business\BOTypes.java,Business.BOTypes,enum,0,1,1,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController$Anonymous5,anonymous,2,2,0,2,2,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,1,0,1,1,0,0,0,10,-1,0
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Business\custom\OrderBO.java,Business.custom.OrderBO,interface,4,5,1,4,6,1,0,0,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Entities\Item.java,Entities.Item,class,5,13,8,5,12,2,0,0,24,0.7166667,0.3181818,0.6818182,12,0,12,0,0,0,12,0,0,0,5,0,0,5,0,0,0,0,0,45,6,0,0,0,0,6,0,8,2,5,0,0,0,0,20,1,0
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Business\impl\CustomerBOImpl.java,Business.impl.CustomerBOImpl$Anonymous1,anonymous,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\LamdaExpressionAndMethodRef\src\Demo.java,Demo,class,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,1,0,1,0,0,1,0,6,1,0
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\UtilityClasses\HibernateUtil.java,UtilityClasses.HibernateUtil,class,10,14,4,10,2,1,0,7,1,0.5,NaN,NaN,2,2,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,13,2,0,0,0,0,1,0,5,0,5,0,0,0,0,19,1,0
