file,class,method,variable,usage
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,purchaseOrder/1[Controller.ActionEvent],quantityOnHandList,2
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,purchaseOrder/1[Controller.ActionEvent],orderId,3
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,purchaseOrder/1[Controller.ActionEvent],txt_odate,1
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,purchaseOrder/1[Controller.ActionEvent],tbl_order,1
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,purchaseOrder/1[Controller.ActionEvent],txt_oid,3
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,purchaseOrder/1[Controller.ActionEvent],cmb_cid,3
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,addItem/1[Controller.ActionEvent],txt_qty,4
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,addItem/1[Controller.ActionEvent],quantityOnHandList,6
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,addItem/1[Controller.ActionEvent],txt_price,1
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,addItem/1[Controller.ActionEvent],tbl_order,1
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,addItem/1[Controller.ActionEvent],txt_qtyonhand,7
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,addItem/1[Controller.ActionEvent],cmb_itemcode,3
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,addItem/1[Controller.ActionEvent],txt_description,1
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,initialize/0,txt_qty,1
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,initialize/0,con,2
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,initialize/0,txt_price,1
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,initialize/0,orderId,5
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,initialize/0,txt_odate,2
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,initialize/0,tbl_order,7
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,initialize/0,txt_cusname,1
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,initialize/0,txt_qtyonhand,1
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,initialize/0,cmb_itemcode,2
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,initialize/0,cmb_cid,2
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,initialize/0,txt_description,1
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,initialize/0,btn_add,1
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,initialize/0,quantityOnHandList,1
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,initialize/0,txt_oid,2
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,initialize/0,btn_update,1
