file,class,method,variable,usage
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,purchaseOrder/1[Controller.ActionEvent],or,2
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,purchaseOrder/1[Controller.ActionEvent],alt,3
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,purchaseOrder/1[Controller.ActionEvent],orderBOImpl,3
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,purchaseOrder/1[Controller.ActionEvent],i,7
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,purchaseOrder/1[Controller.ActionEvent],actionEvent,0
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,purchaseOrder/1[Controller.ActionEvent],items,2
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,purchaseOrder/1[Controller.ActionEvent],onHandQunatites,2
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,addItem/1[Controller.ActionEvent],a,3
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,addItem/1[Controller.ActionEvent],code,6
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,addItem/1[Controller.ActionEvent],qt,8
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,addItem/1[Controller.ActionEvent],alt,3
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,addItem/1[Controller.ActionEvent],i,11
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,addItem/1[Controller.ActionEvent],j,2
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,addItem/1[Controller.ActionEvent],qtyt,2
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,addItem/1[Controller.ActionEvent],total,2
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,addItem/1[Controller.ActionEvent],des,3
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,addItem/1[Controller.ActionEvent],price,5
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,addItem/1[Controller.ActionEvent],qty,7
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,addItem/1[Controller.ActionEvent],tot,1
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,addItem/1[Controller.ActionEvent],newQuantity,8
C:\Users\HP-Eli\WholeSalePOSWithwithHibernate-master\WholeSalePOSWithwithHibernate-master\POS\src\Controller\OrderItemController.java,Controller.OrderItemController,addItem/1[Controller.ActionEvent],actionEvent,0
