file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\bo\custom\impl\CustomerBOImpl.java,bo.custom.impl.CustomerBOImpl,class,6,7,1,6,7,1,0,19,0,0.0,1.0,1.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,1,0,1,26,6,1,0,0,0,0,0,3,0,3,1,0,0,0,26,1,0
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\dao\custom\QueryDAO.java,dao.custom.QueryDAO,interface,2,4,2,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\view\tm\OrderTM.java,view.tm.OrderTM,class,1,3,2,1,13,1,0,2,30,0.7076923,0.30769232,0.84615386,13,0,13,0,0,0,13,0,0,0,5,0,0,5,0,0,0,0,0,49,6,0,0,0,0,6,0,9,2,5,0,0,0,0,16,1,0
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\controller\ItemListFormController.java,controller.ItemListFormController,class,19,20,1,19,27,1,0,47,0,0.7473684,0.47619048,0.71428573,10,0,6,3,0,1,7,0,0,0,19,0,13,1,0,5,1,0,10,153,1,1,3,4,1,19,0,24,9,40,2,0,0,1,111,1,0
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\dto\ItemDTO.java,dto.ItemDTO,class,1,8,7,1,11,1,0,4,13,0.6363636,0.38181818,0.8181818,11,0,11,0,0,0,11,0,0,0,4,0,0,4,0,0,0,0,0,41,5,0,0,0,0,5,0,4,2,4,0,0,0,0,19,1,0
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\bo\custom\PurchaseOrderBO.java,bo.custom.PurchaseOrderBO,interface,4,6,2,4,8,1,0,0,28,0.0,0.0,0.0,8,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\controller\IncomeReportsFormController.java,controller.IncomeReportsFormController,class,20,21,1,20,9,1,0,29,6,0.75,0.0,0.0,4,0,3,1,0,0,3,0,0,0,8,0,7,1,0,0,1,0,2,53,0,1,0,2,1,6,1,8,0,15,2,0,0,0,71,1,0
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\view\tm\ItemTM.java,view.tm.ItemTM,class,1,3,2,1,11,1,0,4,13,0.6363636,0.38181818,0.8181818,11,0,11,0,0,0,11,0,0,0,4,0,0,4,0,0,0,0,0,41,5,0,0,0,0,5,0,4,2,4,0,0,0,0,18,1,0
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\view\tm\OrderDetailTM.java,view.tm.OrderDetailTM,class,1,3,2,1,11,1,0,4,13,0.6363636,0.38181818,0.8181818,11,0,11,0,0,0,11,0,0,0,4,0,0,4,0,0,0,0,0,41,5,0,0,0,0,5,0,4,2,4,0,0,0,0,17,1,0
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\controller\ManageOrdersFormController.java,controller.ManageOrdersFormController,class,17,18,1,17,15,1,0,34,9,0.77142864,0.2,0.3,7,0,4,2,0,1,5,0,0,0,10,0,9,1,0,0,1,0,1,76,1,1,2,2,1,9,0,6,3,18,2,0,0,1,78,1,0
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\entity\Customer.java,entity.Customer,class,1,6,5,1,13,1,0,5,30,0.7076923,0.30769232,0.84615386,13,0,13,0,0,0,13,0,0,0,5,0,0,5,0,0,0,0,0,49,6,0,0,0,0,6,0,5,2,5,0,0,0,0,16,1,0
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\bo\custom\CustomerBO.java,bo.custom.CustomerBO,interface,2,4,2,2,6,1,0,0,15,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\controller\LoginFormController.java,controller.LoginFormController,class,15,16,1,15,13,1,0,31,0,0.5833333,0.6666667,1.0,4,0,4,0,0,0,4,0,0,0,6,1,5,1,0,0,1,0,1,61,5,2,1,1,2,7,2,11,0,15,4,0,0,0,61,1,0
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\dto\OrderDTO.java,dto.OrderDTO,class,2,6,4,2,16,1,0,3,42,0.71875,0.325,0.875,16,0,16,0,0,0,16,0,0,0,6,0,0,6,0,0,0,0,0,64,7,0,0,0,0,6,0,15,2,6,0,0,0,0,18,1,0
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\bo\custom\UserBO.java,bo.custom.UserBO,interface,2,4,2,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\view\tm\IncomeReportTM.java,view.tm.IncomeReportTM,class,1,3,2,1,10,1,0,4,21,0.7,0.26666668,0.8,10,0,10,0,0,0,10,0,0,0,4,0,0,4,0,0,0,0,0,38,4,0,0,0,0,0,0,4,0,4,0,0,0,0,14,1,0
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\dao\custom\impl\OrderDAOImpl.java,dao.custom.impl.OrderDAOImpl,class,3,4,1,3,13,1,0,18,36,0.0,0.0,0.0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,13,45,10,1,0,0,1,24,5,6,1,6,1,0,0,0,56,1,0
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\bo\BoFactory.java,bo.BoFactory$BoTypes,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\bo\SuperBO.java,bo.SuperBO,interface,0,5,5,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\dao\CrudUtil.java,dao.CrudUtil,class,2,9,7,2,5,1,0,7,3,0.0,0.0,0.0,3,3,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,16,3,1,0,0,0,0,3,3,1,3,1,0,0,0,20,1,0
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\dao\custom\impl\ItemDAOImpl.java,dao.custom.impl.ItemDAOImpl,class,3,4,1,3,7,1,0,11,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,27,6,1,0,0,0,13,0,3,0,3,1,0,0,0,43,1,0
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\dao\custom\impl\CustomerDAOImpl.java,dao.custom.impl.CustomerDAOImpl,class,3,4,1,3,9,1,0,13,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,9,38,8,1,0,0,0,21,1,6,1,6,1,0,0,0,51,1,0
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\entity\User.java,entity.User,class,1,7,6,1,9,1,0,3,4,0.5555556,0.44444445,0.7777778,9,0,9,0,0,0,9,0,0,0,3,0,0,3,0,0,0,0,0,33,4,0,0,0,0,4,0,3,2,3,0,0,0,0,12,1,0
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\dto\CustomDTO.java,dto.CustomDTO,class,1,4,3,1,17,1,0,7,64,0.76470596,0.2647059,0.88235295,17,0,17,0,0,0,17,0,0,0,7,0,0,7,0,0,0,0,0,65,8,0,0,0,0,8,0,7,2,7,0,0,0,0,25,1,0
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\dao\custom\CustomerDAO.java,dao.custom.CustomerDAO,interface,2,5,3,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\controller\OrderDetailFormController.java,controller.OrderDetailFormController,class,15,16,1,15,6,1,0,20,3,0.6666666,0.0,0.0,3,0,2,1,0,0,2,0,0,0,7,0,6,1,0,0,1,0,1,37,0,1,0,1,1,5,0,5,0,11,2,0,0,0,53,1,0
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\dto\OrderDetailDTO.java,dto.OrderDetailDTO,class,1,5,4,1,11,1,0,9,13,0.6363636,0.38181818,0.8181818,11,0,11,0,0,0,11,0,0,0,4,0,0,4,0,0,0,0,0,47,5,0,0,0,0,5,0,5,0,5,0,0,0,0,20,1,0
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\bo\BoFactory.java,bo.BoFactory,class,7,12,5,7,8,1,0,0,3,0.6666667,0.0,0.0,3,1,2,1,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,26,6,0,1,0,0,0,0,1,0,1,1,0,1,0,16,1,0
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\bo\custom\ItemBO.java,bo.custom.ItemBO,interface,2,4,2,2,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\entity\OrderDetail.java,entity.OrderDetail,class,1,7,6,1,11,1,0,4,13,0.6363636,0.38181818,0.8181818,11,0,11,0,0,0,11,0,0,0,4,0,0,4,0,0,0,0,0,41,5,0,0,0,0,5,0,4,2,4,0,0,0,0,15,1,0
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\controller\ItemReportsFormController.java,controller.ItemReportsFormController,class,16,17,1,16,7,1,0,22,6,0.75,0.0,0.0,4,0,3,1,0,0,3,0,0,0,8,0,7,1,0,0,1,0,1,41,0,1,0,1,1,4,0,5,0,12,2,0,0,0,62,1,0
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\entity\Item.java,entity.Item,class,1,6,5,1,11,1,0,4,13,0.6363636,0.38181818,0.8181818,11,0,11,0,0,0,11,0,0,0,4,0,0,4,0,0,0,0,0,41,5,0,0,0,0,5,0,4,2,4,0,0,0,0,16,1,0
