file,class,method,variable,usage
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\bo\custom\impl\CustomerBOImpl.java,bo.custom.impl.CustomerBOImpl,updateCustomer/1[dto.CustomerDTO],customerDAO,1
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\bo\custom\impl\CustomerBOImpl.java,bo.custom.impl.CustomerBOImpl,generateNewID/0,customerDAO,1
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\bo\custom\impl\CustomerBOImpl.java,bo.custom.impl.CustomerBOImpl,deleteCustomer/1[java.lang.String],customerDAO,1
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\bo\custom\impl\CustomerBOImpl.java,bo.custom.impl.CustomerBOImpl,ifCustomerExist/1[java.lang.String],customerDAO,1
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\bo\custom\impl\CustomerBOImpl.java,bo.custom.impl.CustomerBOImpl,getAllCustomer/0,customerDAO,1
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\bo\custom\impl\CustomerBOImpl.java,bo.custom.impl.CustomerBOImpl,addCustomer/1[dto.CustomerDTO],customerDAO,1
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\view\tm\OrderTM.java,view.tm.OrderTM,"OrderTM/5[java.lang.String,java.lang.String,java.time.LocalDate,java.lang.String,double]",orderTime,3
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\view\tm\OrderTM.java,view.tm.OrderTM,"OrderTM/5[java.lang.String,java.lang.String,java.time.LocalDate,java.lang.String,double]",cost,3
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\view\tm\OrderTM.java,view.tm.OrderTM,"OrderTM/5[java.lang.String,java.lang.String,java.time.LocalDate,java.lang.String,double]",orderId,3
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\view\tm\OrderTM.java,view.tm.OrderTM,"OrderTM/5[java.lang.String,java.lang.String,java.time.LocalDate,java.lang.String,double]",orderDate,2
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\view\tm\OrderTM.java,view.tm.OrderTM,"OrderTM/5[java.lang.String,java.lang.String,java.time.LocalDate,java.lang.String,double]",CId,3
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\view\tm\OrderTM.java,view.tm.OrderTM,getCost/0,cost,1
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\view\tm\OrderTM.java,view.tm.OrderTM,setOrderId/1[java.lang.String],orderId,3
