file,class,method,variable,usage
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\bo\custom\impl\CustomerBOImpl.java,bo.custom.impl.CustomerBOImpl,updateCustomer/1[dto.CustomerDTO],dto,5
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\bo\custom\impl\CustomerBOImpl.java,bo.custom.impl.CustomerBOImpl,deleteCustomer/1[java.lang.String],id,1
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\bo\custom\impl\CustomerBOImpl.java,bo.custom.impl.CustomerBOImpl,ifCustomerExist/1[java.lang.String],id,1
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\bo\custom\impl\CustomerBOImpl.java,bo.custom.impl.CustomerBOImpl,getAllCustomer/0,all,1
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\bo\custom\impl\CustomerBOImpl.java,bo.custom.impl.CustomerBOImpl,getAllCustomer/0,allCustomers,2
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\bo\custom\impl\CustomerBOImpl.java,bo.custom.impl.CustomerBOImpl,getAllCustomer/0,customer,5
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\bo\custom\impl\CustomerBOImpl.java,bo.custom.impl.CustomerBOImpl,addCustomer/1[dto.CustomerDTO],dto,5
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\dao\custom\QueryDAO.java,dao.custom.QueryDAO,getOrderDetailsFromOrderID/1[java.lang.String],oid,0
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\view\tm\OrderTM.java,view.tm.OrderTM,"OrderTM/5[java.lang.String,java.lang.String,java.time.LocalDate,java.lang.String,double]",orderTime,2
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\view\tm\OrderTM.java,view.tm.OrderTM,"OrderTM/5[java.lang.String,java.lang.String,java.time.LocalDate,java.lang.String,double]",cost,2
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\view\tm\OrderTM.java,view.tm.OrderTM,"OrderTM/5[java.lang.String,java.lang.String,java.time.LocalDate,java.lang.String,double]",orderId,2
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\view\tm\OrderTM.java,view.tm.OrderTM,"OrderTM/5[java.lang.String,java.lang.String,java.time.LocalDate,java.lang.String,double]",orderDate,1
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\view\tm\OrderTM.java,view.tm.OrderTM,"OrderTM/5[java.lang.String,java.lang.String,java.time.LocalDate,java.lang.String,double]",CId,2
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\view\tm\OrderTM.java,view.tm.OrderTM,setOrderId/1[java.lang.String],orderId,2
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\view\tm\OrderTM.java,view.tm.OrderTM,setOrderTime/1[java.lang.String],orderTime,2
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\view\tm\OrderTM.java,view.tm.OrderTM,setCost/1[double],cost,2
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\view\tm\OrderTM.java,view.tm.OrderTM,setCId/1[java.lang.String],cId,1
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\view\tm\OrderTM.java,view.tm.OrderTM,setOrderDate/1[java.time.LocalDate],orderDate,2
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\controller\ItemListFormController.java,controller.ItemListFormController,ItemsUpdateOnAction/1[controller.ActionEvent],e,3
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\controller\ItemListFormController.java,controller.ItemListFormController,ItemsUpdateOnAction/1[controller.ActionEvent],price,2
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\controller\ItemListFormController.java,controller.ItemListFormController,ItemsUpdateOnAction/1[controller.ActionEvent],selectedCustomer,3
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\controller\ItemListFormController.java,controller.ItemListFormController,ItemsUpdateOnAction/1[controller.ActionEvent],qty,2
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\controller\ItemListFormController.java,controller.ItemListFormController,ItemsUpdateOnAction/1[controller.ActionEvent],name,2
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\controller\ItemListFormController.java,controller.ItemListFormController,ItemsUpdateOnAction/1[controller.ActionEvent],id,5
