file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Fish.java,application.Fish,class,2,4,2,2,9,3,0,12,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,40,0,1,4,1,0,4,5,10,0,0,2,0,0,0,60,1,0
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,class,7,9,2,7,26,1,0,62,12,0.8041667,0.6,0.6,8,1,5,3,0,0,5,0,0,0,17,0,0,17,0,0,0,0,11,212,1,3,6,0,1,72,12,42,11,39,4,0,0,0,167,1,0
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Fly.java,application.Fly,class,2,4,2,2,10,3,0,12,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,47,1,1,4,1,0,9,5,14,3,1,2,0,0,0,72,1,0
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Frog.java,application.Frog,class,5,7,2,5,20,3,0,41,13,0.36363637,0.38181818,0.38181818,11,0,11,0,0,0,11,0,0,0,1,0,0,1,0,0,0,0,6,110,2,2,2,2,2,4,27,10,18,2,2,0,0,0,129,1,0
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Shark.java,application.Shark,class,5,7,2,5,23,3,0,43,13,0.36363637,0.38181818,0.38181818,11,0,11,0,0,0,11,0,0,0,1,0,0,1,0,0,0,0,6,120,2,2,5,2,2,4,35,11,22,2,2,0,0,0,132,1,0
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\IAnimal.java,presentation.IAnimal,interface,0,3,3,0,14,1,0,0,91,0.0,0.0,0.0,14,0,14,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,0
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Predator.java,application.Predator,class,2,4,2,2,13,2,2,6,58,0.8854166,0.060606062,0.060606062,12,0,11,0,1,0,12,0,0,0,6,0,0,0,6,0,0,0,0,59,5,0,1,0,0,0,8,12,6,13,1,0,0,0,106,1025,0
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Animal.java,application.Animal,class,1,9,8,1,15,1,2,3,49,0.89899,0.054545455,0.054545455,11,0,11,0,0,0,11,0,0,0,4,0,0,0,4,0,0,0,0,45,5,0,0,0,0,1,7,7,0,10,1,0,0,0,67,1025,0
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\PredatorFactory.java,presentation.PredatorFactory,class,3,4,1,3,3,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,2,0,0,0,0,1,0,0,0,18,1,0
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Prey.java,application.Prey,class,2,7,5,2,18,2,2,8,30,0.8472222,0.083333336,0.11111111,9,0,6,0,3,0,9,0,0,0,8,1,0,2,6,0,0,0,0,90,3,0,2,0,0,5,28,24,16,15,1,0,0,0,107,1025,0
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\Launch.java,Launch,class,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
