file,class,method,variable,usage
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,overwriteConsole/1[java.lang.String],console,1
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,toggleLabels/0,labelVisibility,3
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,createContentPane/0,console,2
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,createContentPane/0,consoleScroll,2
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,createContentPane/0,selectPredator,2
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,createContentPane/0,countValue,3
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,createContentPane/0,nameField,2
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,createContentPane/0,nameFieldLabel,3
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,createContentPane/0,listOfPredators,1
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,createContentPane/0,petName,3
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,createContentPane/0,petCountLabel,2
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,createContentPane/0,topContainer,5
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,createContentPane/0,hungry,3
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,createContentPane/0,makePet,3
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,createContentPane/0,isHungryLabel,3
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,createContentPane/0,labelToggle,3
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,createContentPane/0,buttonPanel,11
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,createContentPane/0,consolePanel,5
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,createContentPane/0,reset,3
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,createContentPane/0,GUI,7
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,createContentPane/0,movementSpacePanel,5
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,createContentPane/0,titlePanel,9
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,createContentPane/0,petCount,1
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,terminateRunningThreads/0,threads,1
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,updateConsole/1[java.lang.String],console,1
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,actionPerformed/1[java.awt.event.ActionEvent],shark,13
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,actionPerformed/1[java.awt.event.ActionEvent],console,2
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,actionPerformed/1[java.awt.event.ActionEvent],predators,10
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,actionPerformed/1[java.awt.event.ActionEvent],selectPredator,6
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,actionPerformed/1[java.awt.event.ActionEvent],countValue,2
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,actionPerformed/1[java.awt.event.ActionEvent],nameField,3
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,actionPerformed/1[java.awt.event.ActionEvent],threads,4
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,actionPerformed/1[java.awt.event.ActionEvent],userGivenPetName,11
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,actionPerformed/1[java.awt.event.ActionEvent],predatorFactory,2
