file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Fish.java,application.Fish,Fish/0,true,15,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,true
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Fish.java,application.Fish,run/0,false,50,1,1,0,1,3,3,11,0,0,0,3,0,0,1,0,1,0,0,1,0,0,2,0,0,0,19,1,0,true
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Fish.java,application.Fish,Fish/1[java.lang.String],true,23,2,5,1,4,5,9,24,0,0,1,9,0,0,0,4,0,0,4,4,9,0,1,0,0,0,40,1,0,true
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,overwriteConsole/1[java.lang.String],false,133,0,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,true
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,createAndShowGUI/0,false,162,1,3,1,2,1,5,8,0,2,0,5,1,1,0,0,0,0,1,0,2,0,0,0,0,0,22,10,0,true
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,toggleLabels/0,false,151,0,1,1,0,2,0,8,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,8,2,0,true
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,createContentPane/0,false,40,0,1,1,0,1,10,59,1,0,0,10,0,0,0,0,0,0,12,5,19,0,0,0,0,0,63,1,0,true
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,terminateRunningThreads/0,false,141,1,2,1,1,2,3,6,0,0,0,3,1,1,1,0,0,0,3,0,0,1,1,0,0,0,21,2,0,true
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,updateConsole/1[java.lang.String],false,125,0,2,2,0,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,16,1,0,true
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,actionPerformed/1[java.awt.event.ActionEvent],false,184,7,24,0,24,17,45,103,0,7,1,45,4,2,2,5,0,1,53,6,13,9,4,0,0,0,75,1,0,true
