file,class,method,variable,usage
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Fish.java,application.Fish,run/0,e,1
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Fish.java,application.Fish,Fish/1[java.lang.String],predator,2
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,overwriteConsole/1[java.lang.String],info,1
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,createAndShowGUI/0,demo,1
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,createAndShowGUI/0,frame,4
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,terminateRunningThreads/0,t,1
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,updateConsole/1[java.lang.String],info,1
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,actionPerformed/1[java.awt.event.ActionEvent],e,4
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,actionPerformed/1[java.awt.event.ActionEvent],predator,2
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,actionPerformed/1[java.awt.event.ActionEvent],flyThread,2
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,actionPerformed/1[java.awt.event.ActionEvent],frogThread,2
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,actionPerformed/1[java.awt.event.ActionEvent],sharkThread,2
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,actionPerformed/1[java.awt.event.ActionEvent],i,9
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\UserInterface.java,presentation.UserInterface,actionPerformed/1[java.awt.event.ActionEvent],fishThread,2
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Fly.java,application.Fly,run/0,e,1
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Fly.java,application.Fly,toString/0,s,4
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Fly.java,application.Fly,Fly/1[java.lang.String],predator,2
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Frog.java,application.Frog,drawTongue/0,e,1
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Frog.java,application.Frog,drawTongue/0,g2d,3
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Frog.java,application.Frog,"Frog/2[java.lang.String,boolean]",hungry,1
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Frog.java,application.Frog,"Frog/2[java.lang.String,boolean]",name,2
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Frog.java,application.Frog,run/0,e,1
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Frog.java,application.Frog,setPrey/1[java.lang.Object],prey,1
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Frog.java,application.Frog,setFly/1[application.Fly],fly,2
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Shark.java,application.Shark,drawTongue/0,e,1
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Shark.java,application.Shark,drawTongue/0,g2d,4
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Shark.java,application.Shark,run/0,e,1
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Shark.java,application.Shark,setPrey/1[java.lang.Object],prey,1
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Shark.java,application.Shark,"Shark/2[java.lang.String,boolean]",hungry,1
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Shark.java,application.Shark,"Shark/2[java.lang.String,boolean]",name,2
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Shark.java,application.Shark,setFish/1[application.Fish],fish,2
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\IAnimal.java,presentation.IAnimal,setStoredConsole/1[javax.swing.JTextArea],storedConsole,0
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\IAnimal.java,presentation.IAnimal,setStoredMovementSpacePanel/1[javax.swing.JPanel],mspanel,0
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\IAnimal.java,presentation.IAnimal,setTongue/1[java.awt.Graphics],tongue,0
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\IAnimal.java,presentation.IAnimal,setPrey/1[java.lang.Object],prey,0
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\presentation\IAnimal.java,presentation.IAnimal,setHungry/1[boolean],hungry,0
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Predator.java,application.Predator,setTongue/1[java.awt.Graphics],tongue,2
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Predator.java,application.Predator,setInverted/0,rand,1
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Predator.java,application.Predator,setInverted/0,randNo,1
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Predator.java,application.Predator,setName/1[java.lang.String],name,2
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Predator.java,application.Predator,moveRandomly/0,rand,2
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Predator.java,application.Predator,moveRandomly/0,randomNumberX,1
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Predator.java,application.Predator,moveRandomly/0,randomNumberY,1
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Predator.java,application.Predator,setStoredMovementSpacePanel/1[javax.swing.JPanel],panel,1
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Predator.java,application.Predator,setHungry/1[boolean],hungry,2
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Predator.java,application.Predator,setStoredConsole/1[javax.swing.JTextArea],storedConsole,2
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Animal.java,application.Animal,generateCoordinates/0,rand,2
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Animal.java,application.Animal,setX/1[int],x,4
C:\Users\HP-Eli\cyberpet-master\cyberpet-master\src\application\Animal.java,application.Animal,setY/1[int],y,4
